dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_adaptor_enabled,ttt_adaptor_bottleneck,ttt_adaptor_trainable_params,ttt_adaptor_target
Gender_Gap_in_Spanish_WP,/data0/zhuhao2025/tabiclv2_test/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6157894736842106,0.5716604369641604,0.43266771544592547,0.7080731754530488,0.7904552424017482,4.651921510696411,1.8974895477294922,ok,,3796,3036,0,950,0.8248125910758972,8,1e-05,True,4.555326461791992,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.6751431426314422,0.6751431426314422,0.6092105263157894,0.6092105263157894,0,True,False,,True,64,67136,row_interactor_output
IBM_HR_Analytics_Employee_Attrition_and_Performance,/data0/zhuhao2025/tabiclv2_test/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8775510204081632,0.865202906820623,0.6945473339650271,0.8368507192695323,0.3283487832674523,4.880768537521362,0.8519890308380127,ok,,1176,940,0,294,0.3067754805088043,8,1e-05,True,4.772813081741333,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8616427432216905,0.8616427432216905,0.8940677966101694,0.8940677966101694,0,True,False,,True,64,67136,row_interactor_output
JapaneseVowels,/data0/zhuhao2025/tabiclv2_test/data178/JapaneseVowels,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,RuntimeError: expected scalar type Half but found Float,0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,False,0,0,
MagicTelescope,/data0/zhuhao2025/tabiclv2_test/data178/MagicTelescope,binclass,15216,3044,3804,9,2,0.8943217665615142,0.8928632735921345,0.8721682141701126,0.9469811862859554,0.2635283442004189,15.763481616973877,12.09231162071228,ok,,15216,12172,0,3804,0.31658075749874115,16,1e-05,True,15.531843662261963,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.9360819153670615,0.9360819153670615,0.8814060446780552,0.8814060446780552,0,True,False,,True,64,67136,row_interactor_output
National_Health_and_Nutrition_Health_Survey,/data0/zhuhao2025/tabiclv2_test/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8333333333333334,0.7812470672147456,0.5238027111127007,0.776476268822204,0.3779141926106015,3.812767505645752,0.7016549110412598,ok,,1822,1457,0,456,0.39675161242485046,10,1e-05,True,3.770223617553711,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7972874312029653,0.7974278333146131,0.8547945205479452,0.8547945205479452,2,True,False,,True,64,67136,row_interactor_output
Pima_Indians_Diabetes_Database,/data0/zhuhao2025/tabiclv2_test/data178/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7272727272727273,0.7179459691252145,0.675,0.8609259259259259,0.4636699453711596,2.7886264324188232,0.5876023769378662,ok,,614,491,0,154,0.5471656918525696,8,1e-05,True,2.75927734375,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8636627906976744,0.8636627906976744,0.7723577235772358,0.7723577235772358,0,True,False,,True,64,67136,row_interactor_output
QSAR_biodegradation,/data0/zhuhao2025/tabiclv2_test/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.8909952606635071,0.8890044360150116,0.8623239436619718,0.9516096579476861,0.2711643492246123,6.200134754180908,1.5345187187194824,ok,,843,674,0,211,0.2928631156682968,8,1e-05,True,6.009537935256958,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9177631578947368,0.9177631578947368,0.863905325443787,0.863905325443787,0,True,False,,True,64,67136,row_interactor_output
Satellite,/data0/zhuhao2025/tabiclv2_test/data178/Satellite,binclass,0,0,0,0,0,,,,,,0.0,0.0,fail,RuntimeError: expected scalar type Half but found Float,0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,False,0,0,
Water_Quality_and_Potability,/data0/zhuhao2025/tabiclv2_test/data178/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6570121951219512,0.5961836671620173,0.57671875,0.6693994140625,0.6237151710167141,3.5617141723632812,1.0794522762298584,ok,,2620,2096,0,656,0.6474907100200653,8,1e-05,True,3.5127811431884766,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.6303462009803922,0.6303462009803922,0.6354961832061069,0.6354961832061069,0,True,False,,True,64,67136,row_interactor_output
accelerometer,/data0/zhuhao2025/tabiclv2_test/data178/accelerometer,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.34 GiB. GPU 0 has a total capacity of 10.57 GiB of which 689.06 MiB is free. Including non-PyTorch memory, this process has 9.70 GiB memory in use. Process 573526 has 202.00 MiB memory in use. Of the allocated memory 7.44 GiB is allocated by PyTorch, and 2.06 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,False,0,0,
