dataset_name,outcome,adaptor_accuracy,iclv2_accuracy,delta_accuracy,delta_pp,n_test,delta_correct,task_type,n_features_result,n_features_info,n_total_info,feature_bin,sample_bin,n_classes,ttt_applied,ttt_adaptor_enabled,ttt_best_epoch,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_split_reason
BNG(tic-tac-toe),win,0.814960629921,0.814833629667,0.000127000254,0.0127000254,7874,1,binclass,9,9,39366,<=10,20k-100k,2,True,True,0,0.8083822829020479,0.8083822829020479,full train set chunked per epoch | validation=dataset_val_split
BLE_RSSI_dataset_for_Indoor_localization,tie,0.733600400601,0.733600400601,0,0,1997,0,multiclass,3,3,9984,<=10,5k-20k,3,True,True,0,0.7509386733416771,0.7509386733416771,full train set chunked per epoch | validation=dataset_val_split
BNG(breast-w),tie,0.988061976124,0.988061976124,0,0,7874,0,binclass,9,9,39366,<=10,20k-100k,2,True,True,0,0.98714081600254,0.98714081600254,full train set chunked per epoch | validation=dataset_val_split
Basketball_c,tie,0.701492537313,0.701492537313,0,0,268,0,binclass,11,11,1340,11-30,<=2k,2,True,True,0,0.7581395348837209,0.7581395348837209,full train set chunked per epoch | validation=dataset_val_split
Customer_Personality_Analysis,tie,0.890625,0.890625,0,0,448,0,binclass,24,24,2240,11-30,2k-5k,2,True,True,0,0.8913649025069638,0.8913649025069638,full train set chunked per epoch | validation=dataset_val_split
FICO-HELOC-cleaned,tie,0.754936708861,0.754936708861,0,0,1975,0,binclass,23,23,9871,11-30,5k-20k,2,True,True,0,0.7493670886075949,0.7493670886075949,full train set chunked per epoch | validation=dataset_val_split
FOREX_audcad-day-High,tie,0.74659400545,0.74659400545,0,0,367,0,binclass,10,10,1834,<=10,<=2k,2,True,True,8,0.7040816326530612,0.7040816326530612,full train set chunked per epoch | validation=dataset_val_split
FOREX_audchf-day-High,tie,0.74931880109,0.74931880109,0,0,367,0,binclass,10,10,1833,<=10,<=2k,2,True,True,12,0.7108843537414966,0.7108843537414966,full train set chunked per epoch | validation=dataset_val_split
FOREX_cadjpy-day-High,tie,0.727520435967,0.727520435967,0,0,367,0,binclass,10,10,1834,<=10,<=2k,2,True,True,7,0.7006802721088435,0.7006802721088435,full train set chunked per epoch | validation=dataset_val_split
Fitness_Club_c,tie,0.803333333333,0.803333333333,0,0,300,0,binclass,6,6,1500,<=10,<=2k,2,True,True,0,0.7666666666666667,0.7666666666666667,full train set chunked per epoch | validation=dataset_val_split
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,tie,0.678125,0.678125,0,0,320,0,binclass,20,20,1600,11-30,<=2k,2,True,True,0,0.64453125,0.64453125,full train set chunked per epoch | validation=dataset_val_split
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,tie,0.684375,0.684375,0,0,320,0,binclass,20,20,1600,11-30,<=2k,2,True,True,2,0.671875,0.671875,full train set chunked per epoch | validation=dataset_val_split
HR_Analytics_Job_Change_of_Data_Scientists,tie,0.800626304802,0.800626304802,0,0,3832,0,binclass,13,13,19158,11-30,5k-20k,2,True,True,8,0.8033268101761253,0.8036529680365296,full train set chunked per epoch | validation=dataset_val_split
