dataset_name,acc_full,task_type,acc_step,step,delta,delta_pp,winner
maternal_health_risk,0.8719211822660099,multiclass,0.8719211822660099,1,0.0,0.0,tie
mfeat-karhunen,0.975,multiclass,0.975,1,0.0,0.0,tie
mfeat-zernike,0.8525,multiclass,0.855,1,-0.0024999999999999467,-0.24999999999999467,icl_training
national-longitudinal-survey-binary,1.0,binclass,1.0,1,0.0,0.0,tie
one-hundred-plants-shape,0.8,multiclass,0.8,1,0.0,0.0,tie
optdigits,0.9955516014234876,multiclass,0.9955516014234876,1,0.0,0.0,tie
pc1,0.9414414414414416,binclass,0.9414414414414416,1,0.0,0.0,tie
pendigits,0.9972714870395636,multiclass,0.9972714870395636,1,0.0,0.0,tie
predict_students_dropout_and_academic_success,0.7638418079096045,multiclass,0.7638418079096045,1,0.0,0.0,tie
ringnorm,0.9797297297297296,binclass,0.9797297297297296,1,0.0,0.0,tie
segment,0.935064935064935,multiclass,0.935064935064935,1,0.0,0.0,tie
sports_articles_for_objectivity_analysis,0.855,binclass,0.855,1,0.0,0.0,tie
sylvine,0.9707317073170731,binclass,0.9707317073170731,1,0.0,0.0,tie
texture,1.0,multiclass,1.0,1,0.0,0.0,tie
thyroid-dis,0.6928571428571428,multiclass,0.6910714285714286,1,0.0017857142857142794,0.17857142857142794,full_training
vehicle,0.8588235294117647,multiclass,0.8588235294117647,1,0.0,0.0,tie
wall-robot-navigation,0.9862637362637364,multiclass,0.9862637362637364,1,0.0,0.0,tie
waveform_database_generator,0.358,multiclass,0.36,1,-0.0020000000000000018,-0.20000000000000018,icl_training
wine,0.7749510763209393,binclass,0.7749510763209393,1,0.0,0.0,tie
yeast,0.622895622895623,multiclass,0.6195286195286195,1,0.0033670033670034627,0.33670033670034627,full_training
Amazon_employee_access,0.9443088190418064,binclass,0.9443088190418064,1,0.0,0.0,tie
Basketball_c,0.7126865671641791,binclass,0.7126865671641791,1,0.0,0.0,tie
Click_prediction_small,0.8319148936170213,binclass,0.8319148936170213,1,0.0,0.0,tie
Diabetic_Retinopathy_Debrecen,0.7489177489177489,binclass,0.7489177489177489,1,0.0,0.0,tie
FICO-HELOC-cleaned,0.7448101265822785,binclass,0.7448101265822785,1,0.0,0.0,tie
FOREX_audchf-day-High,0.7574931880108992,binclass,0.7574931880108992,1,0.0,0.0,tie
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.66875,binclass,0.66875,1,0.0,0.0,tie
GesturePhaseSegmentationProcessed,0.789873417721519,multiclass,0.789873417721519,1,0.0,0.0,tie
KDDCup09_upselling,0.8118908382066277,binclass,0.8118908382066277,1,0.0,0.0,tie
Marketing_Campaign,0.890625,binclass,0.890625,1,0.0,0.0,tie
PhishingWebsites,0.9796472184531886,binclass,0.9796472184531886,1,0.0,0.0,tie
PizzaCutter3,0.8803827751196173,binclass,0.8803827751196173,1,0.0,0.0,tie
Telecom_Churn_Dataset,0.9550224887556222,binclass,0.9550224887556222,1,0.0,0.0,tie
Wilt,0.9927461139896372,binclass,0.9927461139896372,1,0.0,0.0,tie
ada,0.846987951807229,binclass,0.8481927710843373,1,-0.00120481927710836,-0.12048192771083599,icl_training
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.605,binclass,0.605,1,0.0,0.0,tie
analcatdata_authorship,0.9881656804733728,multiclass,0.9881656804733728,1,0.0,0.0,tie
autoUniv-au7-1100,0.4045454545454545,multiclass,0.4045454545454545,1,0.0,0.0,tie
baseball,0.9477611940298508,multiclass,0.9477611940298508,1,0.0,0.0,tie
cmc,0.5898305084745763,multiclass,0.5898305084745763,1,0.0,0.0,tie
