dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,status_baseline,status_ttt,bucket_ttt_vs_baseline,accuracy_baseline,accuracy_ttt,delta_ttt_vs_baseline,delta_pp_ttt_vs_baseline,relative_delta_pct_ttt_vs_baseline,fit_seconds_baseline,fit_seconds_ttt,predict_seconds_baseline,predict_seconds_ttt,ttt_applied_ttt,ttt_steps_ttt,ttt_lr_ttt,ttt_loss_ttt,ttt_update_seconds_ttt,n_train_a_ttt,n_train_b_ttt,n_holdout_c_ttt,n_test_d_ttt,ttt_split_strategy_ttt,ttt_split_reason_ttt,error_type_ttt,error_first_line_ttt,dataset_dir
FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,ok,ok,regressed,0.7166212534059946,0.7138964577656676,-0.002724795640327,-0.2724795640327015,-0.3802281368821348,0.3731980323791504,11.502116203308104,0.4634444713592529,0.4057142734527588,True,9,5e-06,0.5309310462325811,11.470616102218628,1467,1100,367,367,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High
FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,ok,ok,improved,0.7007415858528238,0.7151169423844838,0.01437535653166,1.437535653166,2.0514490394008447,0.6164278984069824,1086.4679980278015,23.52389430999756,23.46988010406494,True,9,5e-06,0.5660844333469868,1086.174297094345,35060,26295,8765,8765,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High
Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,ok,ok,improved,0.8782407407407408,0.8810185185185185,0.0027777777777777,0.2777777777777768,0.3162888771744849,0.4750707149505615,85.60808229446411,3.1152985095977783,3.141376256942749,True,9,5e-06,0.3327461713925004,85.43662929534912,8640,6480,2160,2160,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification
Fitness_Club_c,binclass,1200,240,300,6,2,ok,ok,improved,0.7866666666666666,0.7933333333333333,0.0066666666666667,0.666666666666671,0.8474576271186496,0.3396594524383545,8.350634336471558,0.2608733177185058,0.2760696411132812,True,9,5e-06,0.5036033317446709,8.31970500946045,1200,900,300,300,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,ok,ok,improved,0.66875,0.678125,0.009375,0.9375000000000022,1.4018691588785082,0.3958191871643066,11.003024578094482,0.5084073543548584,0.4120407104492187,True,9,5e-06,0.6403404325246811,10.94234323501587,1280,960,320,320,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,ok,ok,tie,0.68125,0.68125,0.0,0.0,0.0,0.3661291599273681,10.99317502975464,0.4600286483764648,0.4750897884368896,True,9,5e-06,0.4898065393790602,10.930713653564451,1280,960,320,320,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001
Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,ok,ok,improved,0.6052631578947368,0.608421052631579,0.0031578947368421,0.3157894736842137,0.5217391304347879,0.3567304611206054,27.07010817527771,1.0894227027893066,1.160226345062256,True,9,5e-06,0.8013852778822184,27.019815683364868,3796,2847,949,950,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP
GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,ok,ok,improved,0.7863291139240506,0.8050632911392405,0.0187341772151898,1.8734177215189884,2.3824855119124293,0.5231597423553467,84.79790306091309,3.617485523223877,3.41318154335022,True,9,5e-06,0.659130847081542,84.58751916885376,7898,5923,1975,1975,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/GesturePhaseSegmentationProcessed
HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,ok,ok,improved,0.7993215031315241,0.8006263048016702,0.0013048016701461,0.1304801670146127,0.1632386549134822,0.5204997062683105,231.7064754962921,6.392453193664551,6.602977991104126,True,9,5e-06,0.4300129925832152,231.48376178741452,15326,11494,3832,3832,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/HR_Analytics_Job_Change_of_Data_Scientists
IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,ok,ok,improved,0.8639455782312925,0.8673469387755102,0.0034013605442176,0.3401360544217691,0.3937007874015752,0.3751401901245117,11.414092063903809,0.5083746910095215,0.5083713531494141,True,9,5e-06,0.2542945742607116,11.34354829788208,1176,882,294,294,stratified,stratified split,,,/home/crc00006699/zh/tabiclv2/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance
