dataset_name,task_type,accuracy_ensemble,fit_seconds_ensemble,predict_seconds_ensemble,ttt_update_seconds_ensemble,accuracy_icl,fit_seconds_icl,predict_seconds_icl,ttt_update_seconds_icl,delta_ensemble_minus_icl,delta_pp,total_seconds_ensemble,total_seconds_icl,winner
UJI_Pen_Characters,multiclass,0.5421245421245421,0.8423540592193604,2.211585283279419,0.4150655269622803,0.5421245421245421,0.8404204845428467,2.2103402614593506,0.4149596691131592,0.0,0.0,3.0539393424987793,3.0507607460021973,tie
ada_agnostic,binclass,0.8400876232201533,31.04864382743835,1.892735242843628,30.909360647201535,0.8400876232201533,3.157384872436523,1.616739273071289,3.0176987648010254,0.0,0.0,32.94137907028198,4.7741241455078125,tie
allrep,multiclass,0.9854304635761588,20.84006237983704,1.1334099769592283,20.732116222381592,0.9854304635761588,2.2253739833831787,0.9560081958770752,2.1199307441711426,0.0,0.0,21.973472356796268,3.181382179260254,tie
analcatdata_authorship,multiclass,0.9881656804733728,7.221121311187744,0.5438754558563232,7.115142107009888,0.9881656804733728,1.0273923873901367,0.4026427268981933,0.9213120937347412,0.0,0.0,7.764996767044067,1.43003511428833,tie
drug_consumption,multiclass,0.403183023872679,8.521331310272217,0.5000607967376709,8.485998392105103,0.403183023872679,0.961780309677124,0.3680438995361328,0.9289431571960448,0.0,0.0,9.021392107009888,1.3298242092132568,tie
golf_play_dataset_extended,binclass,0.9360730593607306,6.244052171707153,0.5506627559661865,6.214878559112549,0.9360730593607306,0.7781412601470947,0.4436509609222412,0.7480576038360596,0.0,0.0,6.79471492767334,1.221792221069336,tie
ibm-employee-performance,binclass,1.0,8.09954047203064,0.5041956901550293,8.030983209609985,1.0,1.0130465030670166,0.3943181037902832,0.944387674331665,0.0,0.0,8.603736162185669,1.4073646068572998,tie
internet_usage,multiclass,0.5296735905044511,1.712080001831055,9.525748014450071,0.8383667469024658,0.5296735905044511,1.6625213623046875,9.285303592681885,0.7682948112487793,0.0,0.0,11.237828016281126,10.947824954986572,tie
kr-vs-k,multiclass,0.8508553100498931,0.8829734325408936,23.971140384674072,0.4127249717712402,0.8508553100498931,0.9207773208618164,23.722074508666992,0.4393515586853027,0.0,0.0,24.854113817214966,24.64285182952881,tie
kropt,multiclass,0.852815395580898,0.9213089942932128,24.08897018432617,0.4406144618988037,0.852815395580898,0.9446089267730712,23.255638122558597,0.4513368606567383,0.0,0.0,25.01027917861938,24.20024704933167,tie
