dataset_name,task_type,step,baseline_acc,accuracy,delta
Wilt,binclass,1,0.9927461139896372,0.9927461139896372,0.0
UJI_Pen_Characters,multiclass,1,0.5421245421245421,0.5421245421245421,0.0
Telecom_Churn_Dataset,binclass,1,0.9550224887556222,0.9550224887556222,0.0
Satellite,binclass,1,0.9931372549019608,0.9931372549019608,0.0
PizzaCutter3,binclass,1,0.8803827751196173,0.8803827751196173,0.0
Pima_Indians_Diabetes_Database,binclass,1,0.7467532467532467,0.7467532467532467,0.0
National_Health_and_Nutrition_Health_Survey,binclass,1,0.8399122807017544,0.8399122807017544,0.0
Mobile_Price_Classification,multiclass,1,0.94,0.94,0.0
Marketing_Campaign,binclass,1,0.890625,0.890625,0.0
MagicTelescope,binclass,1,0.8848580441640379,0.8848580441640379,0.0
MIC,binclass,1,0.9090909090909092,0.9090909090909092,0.0
JapaneseVowels,multiclass,1,0.9989964877069744,0.9989964877069744,0.0
IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1,0.8639455782312925,0.8639455782312925,0.0
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1,0.68125,0.68125,0.0
Firm-Teacher_Clave-Direction_Classification,multiclass,2,0.8782407407407408,0.8782407407407408,0.0
Employee,binclass,1,0.8528464017185822,0.8528464017185822,0.0
E-CommereShippingData,binclass,1,0.6781818181818182,0.6781818181818182,0.0
Basketball_c,binclass,1,0.7126865671641791,0.7126865671641791,0.0
BLE_RSSI_dataset_for_Indoor_localization,multiclass,1,0.7406109163745619,0.7406109163745619,0.0
ada_prior,binclass,1,0.8411829134720701,0.8411829134720701,0.0
allbp,multiclass,1,0.9788079470198676,0.9788079470198676,0.0
allrep,multiclass,1,0.9854304635761588,0.9854304635761588,0.0
analcatdata_authorship,multiclass,1,0.9881656804733728,0.9881656804733728,0.0
mice_protein_expression,multiclass,1,1.0,1.0,0.0
mfeat-pixel,multiclass,1,0.975,0.975,0.0
mfeat-karhunen,multiclass,1,0.975,0.975,0.0
maternal_health_risk,multiclass,1,0.8719211822660099,0.8719211822660099,0.0
letter,multiclass,1,0.98625,0.98625,0.0
kropt,multiclass,1,0.852815395580898,0.852815395580898,0.0
kr-vs-k,multiclass,1,0.8508553100498931,0.8508553100498931,0.0
kdd_ipums_la_97-small,binclass,1,0.8882466281310212,0.8882466281310212,0.0
internet_usage,multiclass,1,0.5296735905044511,0.5296735905044511,0.0
internet_firewall,multiclass,1,0.9310292210269322,0.9310292210269322,0.0
ibm-employee-performance,binclass,1,1.0,1.0,0.0
house_16H,binclass,5,0.890659747961453,0.890659747961453,0.0
golf_play_dataset_extended,binclass,1,0.9360730593607306,0.9360730593607306,0.0
estimation_of_obesity_levels,multiclass,1,0.9858156028368794,0.9858156028368794,0.0
eeg-eye-state,binclass,1,0.9913217623497996,0.9913217623497996,0.0
drug_consumption,multiclass,1,0.403183023872679,0.403183023872679,0.0
dna,multiclass,1,0.9655172413793104,0.9655172413793104,0.0
dis,binclass,1,0.9841059602649008,0.9841059602649008,0.0
cmc,multiclass,1,0.5898305084745763,0.5898305084745763,0.0
baseball,multiclass,1,0.9477611940298508,0.9477611940298508,0.0
yeast,multiclass,40,0.6296296296296297,0.6296296296296297,0.0
Click_prediction_small,binclass,1,0.8320400500625782,0.8319148936170213,-0.00012515644555688432
phoneme,binclass,1,0.9037927844588344,0.902867715078631,-0.0009250693802034249
