dataset_name,accuracy_direction,ttt_accuracy,icl_accuracy,delta_accuracy,ttt_f1,icl_f1,delta_f1,ttt_balanced_accuracy,icl_balanced_accuracy,delta_balanced_accuracy,ttt_roc_auc,icl_roc_auc,delta_roc_auc,ttt_log_loss,icl_log_loss,delta_log_loss,info_total_samples,info_n_features,info_n_num_features,info_n_cat_features,info_n_classes,ttt_task_type,ttt_n_train,ttt_n_val,ttt_n_test,ttt_n_features,ttt_n_classes,icl_fit_seconds,ttt_fit_seconds,delta_fit_seconds,icl_predict_seconds,ttt_predict_seconds,delta_predict_seconds
FOREX_audchf-day-High,tie,0.7493188010899182,0.7493188010899182,0.0,0.749274129655601,0.749274129655601,0.0,0.7495692984019486,0.7495692984019486,0.0,0.8392888968098379,0.8399275233172934,-0.0006386265074554975,0.4968636932425303,0.4963897907589739,0.00047390248355644315,1833,10,10,0,2,binclass,1466,294,367,10,2,0.3707854747772217,16.152185201644897,15.781399726867676,0.5320603847503662,1.0052814483642578,0.4732210636138916
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,tie,0.678125,0.678125,0.0,0.6727529066015349,0.6727529066015349,0.0,0.6781250000000001,0.6781250000000001,0.0,0.7307421875,0.7283203125000001,0.0024218749999999067,0.6016723698373412,0.6026621843575768,-0.0009898145202356101,1600,20,0,20,2,binclass,1280,256,320,20,2,0.4982216358184814,26.688899040222168,26.190677404403687,0.6390941143035889,0.8026454448699951,0.16355133056640625
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,tie,0.684375,0.684375,0.0,0.6842238962003302,0.6842238962003302,0.0,0.684375,0.684375,0.0,0.7625390624999999,0.7597265625,0.0028124999999998845,0.5616873453693428,0.5670224624765797,-0.005335117107236886,1600,20,0,20,2,binclass,1280,256,320,20,2,0.4857776165008545,40.12822675704956,39.642449140548706,0.5733811855316162,0.7681899070739746,0.1948087215423584
HR_Analytics_Job_Change_of_Data_Scientists,tie,0.8006263048016702,0.8006263048016702,0.0,0.8031068007088733,0.8031068007088733,0.0,0.7469025872281881,0.7469025872281881,0.0,0.8109467213338502,0.8109226998018223,2.40215320278514e-05,0.4298063095795387,0.4296132969888336,0.00019301259070508836,19158,13,3,10,2,binclass,15326,3066,3832,13,2,0.6286306381225586,395.2193360328674,394.5907053947448,7.142102479934692,12.358816862106323,5.216714382171631
Indian_pines,tie,0.9879715691634772,0.9879715691634772,0.0,0.9879578467409422,0.9879578467409422,0.0,0.993097442680776,0.993097442680776,0.0,0.9998890431897652,0.9998888550784032,1.8811136204277545e-07,0.0299664506645526,0.0299785469077627,-1.2096243210100999e-05,9144,220,220,0,8,multiclass,7315,1463,1829,220,8,1.4879534244537354,51.20152306556702,49.71356964111328,15.387264251708984,66.4612398147583,51.073975563049316
JapaneseVowels,tie,0.9994982438534872,0.9994982438534872,0.0,0.999498083906782,0.999498083906782,0.0,0.9993540051679586,0.9993540051679586,0.0,1.0,1.0,0.0,0.0009663665822946,0.0009732406068493,-6.874024554699991e-06,9961,14,14,0,9,multiclass,7968,1594,1993,14,9,0.6074137687683105,232.7750265598297,232.1676127910614,3.145501136779785,4.934724569320679,1.7892234325408936
Credit_c,down,0.81855,0.81865,-9.999999999998899e-05,0.8185514098696635,0.8186470082745152,-9.559840485173776e-05,0.8263726852219944,0.8265399238222978,-0.00016723860030343207,0.9311084887978704,0.9311157153828116,-7.226584941122383e-06,0.4245330533497137,0.4245029028015258,3.0150548187890536e-05,100000,22,17,5,3,multiclass,80000,16000,20000,22,3,1.945836067199707,2053.029340028763,2051.083503961563,115.70085144042967,296.6062159538269,180.90536451339722
FOREX_audusd-hour-High,down,0.7065601825442099,0.7070165430690245,-0.0004563605248145697,0.7065561884334839,0.7070125551699793,-0.00045636673649540604,0.705514158915377,0.7059721251398847,-0.00045796622450766655,0.7858375421117316,0.7858340152754335,3.526836298117786e-06,0.5548860978589416,0.5549286913186079,-4.2593459666284694e-05,43825,10,10,0,2,binclass,35060,7012,8765,10,2,0.733187198638916,852.9869527816772,852.2537655830383,24.509764909744263,50.1055223941803,25.595757484436035
FOREX_audcad-hour-High,down,0.7170564746149458,0.7176269252709641,-0.0005704506560182399,0.716855308415628,0.7174473325377901,-0.0005920241221621936,0.7163509676028831,0.716958738587814,-0.0006077709849309221,0.7893177748546962,0.7893863269194031,-6.8552064706906e-05,0.5532131832393203,0.5530698642590808,0.00014331898023955958,43825,10,10,0,2,binclass,35060,7012,8765,10,2,0.632080078125,740.8408010005951,740.2087209224701,24.5847430229187,50.28841328620911,25.703670263290412
INNHotelsGroup,down,0.9036526533425224,0.9046175051688492,-0.0009648518263267736,0.9030775803600974,0.9040424831745656,-0.0009649028144681493,0.8849968253573997,0.8860378769963552,-0.0010410516389555147,0.9631092040832064,0.9627339994476932,0.0003752046355132155,0.2250875210682927,0.2235627536735876,0.0015247673947050844,36275,17,11,6,2,binclass,29020,5804,7255,17,2,0.8222301006317139,1099.947179555893,1099.1249494552612,19.71092128753662,38.56600499153137,18.85508370399475
FOREX_audjpy-hour-High,down,0.7210496292070736,0.7220764403879064,-0.0010268111808328095,0.7210234579408102,0.7220514955581413,-0.0010280376173310568,0.7207125910690356,0.7217437540042443,-0.0010311629352086626,0.8001567719946424,0.800008640360573,0.0001481316340694594,0.541027605599689,0.5412186533393606,-0.0001910477396716015,43825,10,10,0,2,binclass,35060,7012,8765,10,2,0.5951879024505615,844.9406905174255,844.345502614975,24.44355010986328,50.06035900115967,25.616808891296387
Employee,down,0.8592910848549946,0.8603651987110634,-0.0010741138560688146,0.8525054685391413,0.8533323103677561,-0.0008268418286148105,0.810195887888707,0.8102700490998364,-7.416121112935325e-05,0.8768233428805238,0.8782886661211129,-0.0014653232405891226,0.3555141445402871,0.3551362759250647,0.000377868615222432,4653,8,3,5,2,binclass,3722,745,931,8,2,0.4019129276275635,54.7440402507782,54.342127323150635,1.3741416931152344,1.5472400188446045,0.17309832572937012
FOREX_audsgd-hour-High,down,0.708157444381061,0.7105533371363377,-0.0023958927552767406,0.7081756160870584,0.7105705302797058,-0.0023949141926474793,0.7079698800429568,0.7103644923983572,-0.002394612355400394,0.7805232758103167,0.7861951951313466,-0.00567191932102995,0.5697491363251507,0.5550260114033174,0.014723124921833253,43825,10,10,0,2,binclass,35060,7012,8765,10,2,0.8408899307250977,1228.0737645626068,1227.2328746318817,24.73153805732727,49.96764302253723,25.23610496520996
FOREX_cadjpy-day-High,down,0.7247956403269755,0.7275204359673024,-0.0027247956403269047,0.724709800552843,0.7272531562094675,-0.0025433556566245574,0.7248455690187694,0.727607507721549,-0.0027619387027796316,0.790775718698028,0.7930921834164885,-0.002316464718460476,0.5539200445989151,0.553130949246042,0.0007890953528730815,1834,10,10,0,2,binclass,1467,294,367,10,2,0.665729284286499,32.044498682022095,31.378769397735596,0.6509490013122559,0.76930832862854,0.11835932731628418
ASP-POTASSCO-classification,down,0.4864864864864865,0.4903474903474903,-0.0038610038610037978,0.4677189476256108,0.4709621259507563,-0.003243178325145535,0.3979633853965404,0.4015997490329041,-0.0036363636363636598,0.8513989588114014,0.8512095632231967,0.00018939558820463276,1.503789239435718,1.503941898782927,-0.00015265934720898322,1294,141,140,1,11,multiclass,1035,207,259,141,11,1.0832269191741943,6.412717580795288,5.329490661621094,4.250904083251953,13.25194525718689,9.001041173934937
