dataset_name,accuracy_direction,chunk3000_accuracy,default3_accuracy,delta_accuracy,chunk3000_f1,default3_f1,delta_f1,chunk3000_balanced_accuracy,default3_balanced_accuracy,delta_balanced_accuracy,chunk3000_roc_auc,default3_roc_auc,delta_roc_auc,chunk3000_log_loss,default3_log_loss,delta_log_loss,info_total_samples,info_n_features,info_n_num_features,info_n_cat_features,info_n_classes,chunk3000_task_type,chunk3000_n_train,chunk3000_n_val,chunk3000_n_test,chunk3000_n_features,chunk3000_n_classes,chunk3000_ttt_oom_fallback,default3_ttt_oom_fallback,chunk3000_fit_seconds,default3_fit_seconds,delta_fit_seconds,chunk3000_predict_seconds,default3_predict_seconds,delta_predict_seconds,chunk3000_ttt_applied,chunk3000_ttt_steps,chunk3000_ttt_update_seconds,chunk3000_ttt_fallback_reason,chunk3000_ttt_val_baseline_metric,chunk3000_ttt_val_best_metric,chunk3000_ttt_val_baseline_accuracy,chunk3000_ttt_val_best_accuracy,default3_task_type,default3_n_train,default3_n_val,default3_n_test,default3_n_features,default3_n_classes,default3_ttt_applied,default3_ttt_steps,default3_ttt_update_seconds,default3_ttt_fallback_reason,default3_ttt_val_baseline_metric,default3_ttt_val_best_metric,default3_ttt_val_baseline_accuracy,default3_ttt_val_best_accuracy
California-Housing-Classification,up,0.9265988372093024,0.9258720930232558,0.0007267441860465684,0.9265986864471796,0.9258719886198852,0.000726697827294398,0.9265996415572892,0.9258716061496282,0.0007280354076610873,0.9801273211043416,0.9802549004188874,-0.0001275793145457671,0.1863699468902518,0.1805565630124068,0.0058133838778449964,20640,8,8,0,2,binclass,16512,3303,4128,8,2,False,False,692.6066987514496,46.72005367279053,645.8866450786591,12.85939884185791,7.261375665664673,5.598023176193237,True,51,692.357578754425,,0.9770800732698504,0.9784507665029486,0.9191643960036332,0.9182561307901907,binclass,16512,3303,4128,8,2,True,32,46.578256130218506,,0.9770747569526432,0.9786009066337372,0.9182561307901907,0.9221919467151076
Amazon_employee_access,up,0.9446139761977418,0.9441562404638388,0.0004577357339029531,0.930310019991134,0.9294777284745342,0.0008322915165998035,0.5817843675557882,0.5778265839146273,0.00395778364116095,0.8347434651170244,0.8343142512257914,0.00042921389123296017,0.1662933236846929,0.1663157519817883,-2.2428297095394845e-05,32769,7,0,7,2,binclass,26215,5243,6554,7,2,False,False,612.652628660202,39.21893930435181,573.4336893558502,24.87891268730164,12.771094560623167,12.107818126678472,True,45,612.2838160991669,,0.8554856086358841,0.8555981660468239,0.9488842265878314,0.948121304596605,binclass,26215,5243,6554,7,2,True,24,38.99549889564514,,0.8550393751132234,0.8550393751132234,0.949074957085638,0.949074957085638
BNG(tic-tac-toe),up,0.8152146304292609,0.8149606299212598,0.0002540005080010621,0.8130888916054947,0.8128715619400054,0.00021732966548926314,0.7859096138011621,0.7858007909125131,0.00010882288864899614,0.8831712982584852,0.8842887790790738,-0.001117480820588601,0.405528552316303,0.4055779497627719,-4.9397446468868456e-05,39366,9,0,9,2,binclass,31492,6299,7874,9,2,False,False,757.3690524101257,93.83267760276794,663.5363748073578,40.84342908859253,20.4848051071167,20.35862398147583,True,54,756.9082281589508,,0.877775519968929,0.8781690237968605,0.8083822829020479,0.8088585489760279,binclass,31492,6299,7874,9,2,True,51,93.50178074836732,,0.8779035922294894,0.8796287027787065,0.8096523257659946,0.8102873471979679
BNG(breast-w),tie,0.9880619761239524,0.9880619761239524,0.0,0.9880774596607574,0.9880774596607574,0.0,0.9880918254272,0.9880918254272,0.0,0.9990917657501776,0.999091193994276,5.71755901512816e-07,0.0343117793715498,0.0343132452765176,-1.4659049678011904e-06,39366,9,9,0,2,binclass,31492,6299,7874,9,2,False,False,670.4671075344086,44.22048830986023,626.2466192245483,40.85415768623352,20.40172266960144,20.45243501663208,True,48,670.063068151474,,0.998802814825534,0.998802814825534,0.98714081600254,0.98714081600254,binclass,31492,6299,7874,9,2,True,24,43.96511721611023,,0.9988056620762288,0.9988056620762288,0.98666454992856,0.98666454992856
BNG(cmc),tie,0.5876130198915009,0.5876130198915009,0.0,0.5863973804291363,0.5862962516292766,0.00010112879985968437,0.5695022144018181,0.5687889901282926,0.0007132242735254923,0.7646141815548501,0.7654486569444182,-0.0008344753895681567,0.875189190152952,0.874089921449486,0.0010992687034659943,55296,9,2,7,3,multiclass,44236,8848,11060,9,3,False,False,1090.6153709888458,140.5880937576294,950.0272772312164,77.29545331001282,36.62359881401062,40.6718544960022,True,64,1089.9680469036102,,0.7591380674379433,0.7591380674379433,0.5765144665461122,0.5765144665461122,multiclass,44236,8848,11060,9,3,True,72,140.19423007965088,,0.7589704602393859,0.7600613014482193,0.5762884267631103,0.577870705244123
Bank_Customer_Churn_Dataset,tie,0.8755,0.8755,0.0,0.8652834419381789,0.8652834419381789,0.0,0.7444077359331597,0.7444077359331597,0.0,0.8821109244838059,0.883157425530307,-0.0010465010465010582,0.3136568889686981,0.3123494973601377,0.0013073916085604154,10000,10,6,4,2,binclass,8000,1600,2000,10,2,False,False,171.75213241577148,18.857383251190186,152.8947491645813,4.504229068756104,2.833881139755249,1.6703479290008554,True,18,171.6148717403412,,0.8782336200171432,0.8784202213211854,0.86125,0.86125,binclass,8000,1600,2000,10,2,True,12,18.769643783569336,,0.8777604954204428,0.8791762575724013,0.861875,0.86375
FOREX_audcad-day-High,tie,0.7547683923705722,0.7547683923705722,0.0,0.7547683923705722,0.7547428929461306,2.549942444163289e-05,0.7547228657993228,0.754648606903107,7.42588962158175e-05,0.834848214816135,0.8315956751618844,0.0032525396542506524,0.5022843839866397,0.5067577745561708,-0.0044733905695311105,1834,10,10,0,2,binclass,1467,294,367,10,2,False,False,36.458722829818726,4.879014253616333,31.579708576202393,0.943687915802002,0.5395162105560303,0.4041717052459717,True,19,36.3972270488739,,0.7958805831983337,0.7992362878963203,0.7040816326530612,0.717687074829932,binclass,1467,294,367,10,2,True,11,4.841969966888428,,0.7950011571395511,0.7968757232122194,0.7108843537414966,0.7108843537414966
FOREX_audchf-day-High,tie,0.7493188010899182,0.7493188010899182,0.0,0.749274129655601,0.7493076338946711,-3.350423907011457e-05,0.7495692984019486,0.7494950395057328,7.42588962158175e-05,0.8392888968098379,0.8393186003683241,-2.970355848619377e-05,0.4968636932425303,0.4969293944762287,-6.570123369836756e-05,1833,10,10,0,2,binclass,1466,294,367,10,2,False,False,16.152185201644897,5.943689346313477,10.208495855331421,1.0052814483642578,0.5287985801696777,0.4764828681945801,True,8,16.100667715072632,,0.7918768803517705,0.7918768803517705,0.7108843537414966,0.7108843537414966,binclass,1466,294,367,10,2,True,13,5.908594846725464,,0.7934968757232121,0.7946077296922007,0.7108843537414966,0.7142857142857143
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,tie,0.678125,0.678125,0.0,0.6727529066015349,0.6727529066015349,0.0,0.6781250000000001,0.6781250000000001,0.0,0.7307421875,0.72978515625,0.0009570312500000178,0.6016723698373412,0.6015619283103112,0.00011044152702999188,1600,20,0,20,2,binclass,1280,256,320,20,2,False,False,26.688899040222168,5.361689567565918,21.32720947265625,0.8026454448699951,0.5508594512939453,0.2517859935760498,True,10,26.520202159881592,,0.67193603515625,0.67340087890625,0.64453125,0.65625,binclass,1280,256,320,20,2,True,10,5.302006006240845,,0.67071533203125,0.671142578125,0.65234375,0.64453125
Indian_pines,tie,0.9879715691634772,0.9879715691634772,0.0,0.9879578467409422,0.9879578467409422,0.0,0.993097442680776,0.993097442680776,0.0,0.9998890431897652,0.9998888550784032,1.8811136204277545e-07,0.0299664506645526,0.0299785469077627,-1.2096243210100999e-05,9144,220,220,0,8,multiclass,7315,1463,1829,220,8,True,True,51.20152306556702,6.913709402084351,44.287813663482666,66.4612398147583,15.958953142166138,50.50228667259216,False,0,45.98795199394226,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 332.00 MiB. GPU 0 has a total capacity of 10.57 GiB of which 245.06 MiB is free. Including non-PyTorch memory, this process has 10.28 GiB memory in use. Of the allocated memory 10.01 GiB is allocated by PyTorch, and 54.20 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",,,,,multiclass,7315,1463,1829,220,8,False,0,4.893718719482422,"TTT OOM; used original model parameters for inference: OutOfMemoryError: Caught OutOfMemoryError in replica 0 on device 0. Original Traceback (most recent call last): File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/parallel/parallel_apply.py"", line 96, in _worker output = module(*input, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 496, in forward out = self._train_forward(X, y_train, d=d, embed_with_test=embed_with_test) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/tabicl.py"", line 335, in _train_forward self.col_embedder( File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/embedding.py"", line 728, in forward embeddings = self._train_forward(X, y_train, d, embed_with_test) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/embedding.py"", line 458, in _train_forward return self._train_forward_with_feature_group(X, y_train, embed_with_test) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/embedding.py"", line 474, in _train_forward_with_feature_group embeddings = self._compute_embeddings(features, train_size, y_train, embed_with_test) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/embedding.py"", line 388, in _compute_embeddings src = self.tf_col(src, train_size=None if embed_with_test else train_size) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/encoders.py"", line 331, in forward out = block(out, train_size) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 679, in forward out = self.induced_attention(src, train_size) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 647, in induced_attention out = self.multihead_attn2(src, hidden, hidden) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 454, in forward attn_result = self._attn_block( File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 506, in _attn_block result = self.attn( File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1739, in _wrapped_call_impl return self._call_impl(*args, **kwargs) File ""/home/crc00006699/anaconda3/envs/tabicl/lib/python3.10/site-packages/torch/nn/modules/module.py"", line 1750, in _call_impl return forward_call(*args, **kwargs) File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/layers.py"", line 269, in forward return multi_head_attention_forward( File ""/home/crc00006699/zh/tabiclv2/src/tabicl/model/attention.py"", line 293, in multi_head_attention_forward attn_output = F.linear(attn_output, out_proj_weight, out_proj_bias) # (batch_shape, tgt_len, E) torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 642.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 54.00 MiB is free. Process 16410 has 23.51 GiB memory in use. Of the allocated memory 23.00 GiB is allocated by PyTorch, and 101.18 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,
