dataset_name,status_old,status_new,accuracy_old,accuracy_new,accuracy_diff,f1_old,f1_new,n_train_old,n_val_old,n_test_old,n_features_old,n_classes_old
internet_usage,ok,ok,0.5499505440158259,0.5499505440158259,0.0,0.1747466272750702,0.4736042321329964,8086,1618,2022,70,46
jm1,ok,ok,0.819935691318328,0.819935691318328,0.0,0.6031598997046197,0.7830204850397972,8708,1742,2177,21,2
jungle_chess_2pcs_raw_endgame_complete,ok,ok,0.892681838464971,0.892681838464971,0.0,0.8581065666167187,0.892448512201039,35855,7171,8964,6,3
kc1,ok,ok,0.8720379146919431,0.8720379146919431,0.0,0.6937096774193549,0.855423482647913,1687,338,422,21,2
kdd_ipums_la_97-small,ok,ok,0.8853564547206165,0.8853564547206165,0.0,0.8849051311987581,0.8849051311987581,4150,830,1038,20,2
kr-vs-k,ok,ok,0.9196364932287956,0.9196364932287956,0.0,0.9057034979011898,0.9195808375758182,22444,4489,5612,6,18
kropt,ok,ok,0.9164290805416964,0.9164290805416964,0.0,0.902892499833674,0.916335241288993,22444,4489,5612,6,18
led24,ok,ok,0.734375,0.734375,0.0,0.7300740012876072,0.7298178871074521,2560,512,640,24,10
led7,ok,ok,0.7390625,0.7390625,0.0,0.7321979898584834,0.7348809865674293,2560,512,640,7,10
letter,ok,ok,0.99,0.99,0.0,0.9899461976234264,0.9899971395278518,16000,3200,4000,15,26
madeline,ok,ok,0.9235668789808916,0.9235668789808916,0.0,0.9235599014068792,0.9235645531228877,2512,503,628,259,2
mammography,ok,ok,0.989718372820742,0.989718372820742,0.0,0.8710025999553721,0.988999218558277,8946,1790,2237,6,2
mfeat-factors,ok,ok,0.9825,0.9825,0.0,0.9824984372558212,0.9824984372558212,1600,320,400,216,10
mfeat-fourier,ok,ok,0.9225,0.9225,0.0,0.9218915524806744,0.9218915524806744,1600,320,400,76,10
mfeat-karhunen,ok,ok,0.975,0.975,0.0,0.975015727207024,0.975015727207024,1600,320,400,64,10
mfeat-morphological,ok,ok,0.77,0.77,0.0,0.7619729916146867,0.7619729916146867,1600,320,400,6,10
mfeat-pixel,ok,ok,0.975,0.975,0.0,0.97494801061037,0.97494801061037,1600,320,400,240,10
mfeat-zernike,ok,ok,0.8975,0.8975,0.0,0.8961952300745445,0.8961952300745445,1600,320,400,47,10
mice_protein_expression,ok,ok,1.0,1.0,0.0,1.0,1.0,864,173,216,75,8
microaggregation2,ok,ok,0.6445,0.6445,0.0,0.4716405859288562,0.5978512114251717,16000,3200,4000,20,5
mobile_c36_oversampling,ok,ok,0.9943006182380216,0.9943006182380216,0.0,0.9940156469245796,0.99429519381727,41408,8282,10352,6,2
mozilla4,ok,ok,0.944033451270505,0.944033451270505,0.0,0.9352513077424672,0.9434198517226944,12436,2488,3109,4,2
naticusdroid+android+permissions+dataset,ok,ok,0.9730697119481848,0.9730697119481848,0.0,0.9730694295118424,0.9730692362659236,23465,4693,5867,86,2
national-longitudinal-survey-binary,ok,ok,1.0,1.0,0.0,1.0,1.0,3926,786,982,16,2
okcupid_stem,ok,ok,0.75,0.75,0.0,0.5114440955089883,0.6971347837651913,21341,4269,5336,13,3
one-hundred-plants-margin,ok,ok,0.903125,0.903125,0.0,0.902436507936508,0.9008283730158728,1280,256,320,64,100
one-hundred-plants-shape,ok,ok,0.840625,0.840625,0.0,0.8280873015873017,0.8301463293650793,1280,256,320,64,100
one-hundred-plants-texture,ok,ok,0.928125,0.928125,0.0,0.9297063492063492,0.9280704365079364,1279,256,320,64,100
online_shoppers,ok,ok,0.9059205190592052,0.9059205190592052,0.0,0.800650338061502,0.9006335122010617,9864,1973,2466,14,2
optdigits,ok,ok,0.9973309608540926,0.9973309608540926,0.0,0.9973369700287495,0.997330908588654,4496,900,1124,64,10
ozone-level-8hr,ok,ok,0.9546351084812624,0.9546351084812624,0.0,0.7434266980571629,0.9468295802699368,2027,406,507,72,2
page-blocks,ok,ok,0.9771689497716894,0.9771689497716894,0.0,0.8879974059908939,0.9769424468656428,4378,876,1095,10,5
pc1,ok,ok,0.945945945945946,0.945945945945946,0.0,0.7130547177940543,0.9366302968198704,887,178,222,21,2
pc3,ok,ok,0.9009584664536742,0.9009584664536742,0.0,0.5761586511160617,0.8713234468060816,1250,250,313,37,2
pc4,ok,ok,0.910958904109589,0.910958904109589,0.0,0.7779337779337779,0.9074272635916472,1166,234,292,37,2
pendigits,ok,ok,0.9972714870395636,0.9972714870395636,0.0,0.9972863436207154,0.9972742335430836,8793,1759,2199,16,10
phoneme,ok,ok,0.9037927844588344,0.9037927844588344,0.0,0.8837345908827666,0.903703438384999,4323,865,1081,5,2
pol,ok,ok,0.9940505701536936,0.9940505701536936,0.0,0.994050568691302,0.9940505672289106,8065,1613,2017,26,2
predict_students_dropout_and_academic_success,ok,ok,0.7830508474576271,0.7830508474576271,0.0,0.7174533549584342,0.7771933922535511,3539,708,885,34,3
qsar,ok,ok,0.9004739336492891,0.9004739336492891,0.0,0.8865155589704188,0.8995308002250411,844,169,211,40,2
rice_cammeo_and_osmancik,ok,ok,0.931758530183727,0.931758530183727,0.0,0.929777053131535,0.9314798849732624,3048,610,762,7,2
ringnorm,ok,ok,0.9797297297297296,0.9797297297297296,0.0,0.979723471999211,0.9797268415464132,5920,1184,1480,20,2
rl,ok,ok,0.9054325955734408,0.9054325955734408,0.0,0.9054264695760608,0.9054264695760608,3976,796,994,12,2
satimage,ok,ok,0.9416796267496113,0.9416796267496113,0.0,0.9290615183529172,0.9403661525823096,5144,1029,1286,36,6
segment,ok,ok,0.9545454545454546,0.9545454545454546,0.0,0.9545478826122296,0.9545478826122294,1848,370,462,17,7
seismic+bumps,ok,ok,0.9342359767891684,0.9342359767891684,0.0,0.483,0.9024719535783364,2067,414,517,18,2
semeion,ok,ok,0.9686520376175548,0.9686520376175548,0.0,0.9686438516680452,0.9686948325435536,1274,255,319,256,10
shuttle,ok,ok,0.9993103448275862,0.9993103448275862,0.0,0.933072174202621,0.9993053493768193,46400,9280,11600,9,7
spambase,ok,ok,0.9587404994571118,0.9587404994571118,0.0,0.9568041114961936,0.9587404994571118,3680,736,921,57,2
splice,ok,ok,0.9608150470219436,0.9608150470219436,0.0,0.9543829526884324,0.9607765132232094,2552,511,638,60,3
sports_articles_for_objectivity_analysis,ok,ok,0.845,0.845,0.0,0.8266946191474493,0.8419021663172606,800,160,200,59,2
statlog,ok,ok,0.73,0.73,0.0,0.6491683991683992,0.7165280665280664,800,160,200,20,2
steel_plates_faults,ok,ok,0.8483290488431876,0.8483290488431876,0.0,0.8790372998823369,0.8480963616620234,1552,311,389,27,7
sylvine,ok,ok,0.977560975609756,0.977560975609756,0.0,0.9775608901782852,0.9775608474625496,4099,820,1025,20,2
taiwanese_bankruptcy_prediction,ok,ok,0.9714076246334312,0.9714076246334312,0.0,0.6730162828007155,0.965224534664526,5455,1091,1364,95,2
telco-customer-churn,ok,ok,0.8055358410220014,0.8055358410220014,0.0,0.7311892494081604,0.7975092184456082,5634,1127,1409,18,2
texture,ok,ok,1.0,1.0,0.0,1.0,1.0,4400,880,1100,40,11
thyroid,ok,ok,0.9958333333333332,0.9958333333333332,0.0,0.9751011048572024,0.995835174762004,5760,1152,1440,21,3
thyroid-ann,ok,ok,0.9920529801324504,0.9920529801324504,0.0,0.9449138360313144,0.9919737363445972,3017,604,755,21,3
thyroid-dis,ok,ok,0.6982142857142857,0.6982142857142857,0.0,0.4596998241156928,0.6783923802078972,2240,448,560,26,5
turiye_student_evaluation,ok,ok,0.5197594501718213,0.5197594501718213,0.0,0.4026711635604167,0.4909348424900532,4656,932,1164,32,5
