dataset_name,group,winner,task_type_iclv2_ensmble32,n_train_iclv2_ensmble32,n_val_iclv2_ensmble32,n_test_compare,n_features_iclv2_ensmble32,n_classes_iclv2_ensmble32,acc_iclv2_ensmble32,acc_ttt_step8,delta_ttt_minus_iclv2,delta_pp,delta_correct_est,fit_seconds_iclv2_ensmble32,predict_seconds_iclv2_ensmble32,total_seconds_iclv2_ensmble32,fit_seconds_ttt_step8,predict_seconds_ttt_step8,ttt_update_seconds,total_seconds_ttt_step8,ttt_applied,ttt_steps,ttt_lr,ttt_loss,ttt_split_strategy,ttt_split_reason,ttt_execution_group,change_strength,dataset_dir_iclv2_ensmble32,dataset_dir_ttt_step8
Telecom_Churn_Dataset,TTT step8更高,ttt_step8,binclass,2666,534,667,17,2,0.9610194902548724,0.9655172413793104,0.004497751124437954,0.4497751124437954,3.0000000000001155,0.4182426929473877,1.5309600830078125,1.9492027759552002,18.48306131362915,0.9413714408874512,18.41771411895752,19.4244327545166,True,8,5e-06,0.1327312495559454,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/Telecom_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Telecom_Churn_Dataset
Pumpkin_Seeds,TTT step8更高,ttt_step8,binclass,2000,400,500,12,2,0.882,0.886,0.0040000000000000036,0.40000000000000036,2.0000000000000018,0.4606835842132568,0.6751894950866699,1.1358730792999268,13.85676884651184,0.7400376796722412,13.819238662719728,14.596806526184082,True,8,5e-06,0.2319960719905793,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/Pumpkin_Seeds,/home/crc00006699/zh/tabiclv2/data178/Pumpkin_Seeds
baseball,TTT step8更高,ttt_step8,multiclass,1072,215,268,16,3,0.9440298507462688,0.9477611940298508,0.003731343283582045,0.3731343283582045,0.999999999999988,0.3733010292053222,0.4575870037078857,0.8308880329132079,11.363051891326904,0.4947831630706787,11.316192626953123,11.857835054397583,True,8,5e-06,0.1696164151653647,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/baseball,/home/crc00006699/zh/tabiclv2/data178/baseball
GesturePhaseSegmentationProcessed,TTT step8更高,ttt_step8,multiclass,7898,1580,1975,32,5,0.8273417721518987,0.8308860759493671,0.0035443037974683955,0.35443037974683955,7.000000000000081,0.5373661518096924,4.304964780807495,4.8423309326171875,80.22478818893433,4.290464401245117,80.00458860397339,84.51525259017944,True,8,5e-06,0.5828221123665571,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data178/GesturePhaseSegmentationProcessed
ada_agnostic,TTT step8更高,ttt_step8,binclass,3649,730,913,48,2,0.8510405257393209,0.8543263964950711,0.003285870755750264,0.3285870755750264,2.999999999999991,0.4756913185119629,2.2255141735076904,2.7012054920196533,30.30985140800476,2.264108180999756,30.16728115081787,32.57395958900452,True,8,5e-06,0.3173037879168987,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/ada_agnostic,/home/crc00006699/zh/tabiclv2/data178/ada_agnostic
electricity,TTT step8更高,ttt_step8,binclass,36249,7250,9063,8,2,0.9261833829857664,0.9293832064437824,0.003199823458015949,0.3199823458015949,28.999999999998547,0.6157522201538086,25.78266143798828,26.39841365814209,1110.1236970424652,26.4196879863739,1109.8106095790863,1136.543385028839,True,8,5e-06,0.1903170961886644,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/electricity,/home/crc00006699/zh/tabiclv2/data178/electricity
Water_Quality_and_Potability,TTT step8更高,ttt_step8,binclass,2620,524,656,8,2,0.6570121951219512,0.6600609756097561,0.0030487804878048808,0.3048780487804881,2.0000000000000018,0.3688228130340576,0.8260581493377686,1.1948809623718262,17.09247064590454,0.8115372657775879,17.054028034210205,17.90400791168213,True,8,5e-06,0.6289572957903147,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability
gina_agnostic,TTT step8更高,ttt_step8,binclass,2774,555,694,970,2,0.9740634005763688,0.9769452449567724,0.00288184438040362,0.288184438040362,2.000000000000112,3.1922767162323,44.48625326156616,47.67852997779846,230.8251166343689,46.39357805252075,228.056414604187,277.21869468688965,True,8,5e-06,0.0812773432116955,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/gina_agnostic,/home/crc00006699/zh/tabiclv2/data178/gina_agnostic
allrep,TTT step8更高,ttt_step8,multiclass,3017,604,755,29,4,0.9841059602649008,0.9867549668874172,0.0026490066225163256,0.26490066225163256,1.999999999999826,0.4341239929199219,1.383265495300293,1.8173894882202148,21.60845828056335,1.4676265716552734,21.50176453590393,23.076084852218624,True,8,5e-06,0.0275080654537305,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/allrep,/home/crc00006699/zh/tabiclv2/data178/allrep
bank,TTT step8更高,ttt_step8,binclass,36168,7234,9043,16,2,0.9089903792989052,0.91120203472299,0.0022116554240847464,0.22116554240847464,19.999999999998362,0.8156044483184814,27.417607069015503,28.233211517333984,1117.882862329483,28.504902839660645,1117.3645586967468,1146.3877651691437,True,8,5e-06,0.1898389514535665,stratified,stratified split,TTT执行,medium_gain_0.2-1pp,/home/crc00006699/zh/tabiclv2/data178/bank,/home/crc00006699/zh/tabiclv2/data178/bank
