dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7088419851682829,0.7087748969669463,0.7076006091447156,0.7894865898189066,0.5513911886139851,139.08980679512024,24.65716004371643,ok,,35060,28048,0,8765,0.5465025901794434,66,1e-05,True,138.761887550354,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.7781984185843283,0.7835975312463976,0.7102110667427267,0.7149172846548774,14,True,False,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7411444141689373,0.7408442805973467,0.7412390116417201,0.7941613209788548,0.5518971723837227,5.054574489593506,0.5225706100463867,ok,,1467,1173,0,367,0.5069755911827087,12,1e-05,True,5.022535800933838,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.7791095890410958,0.781492965568308,0.7006802721088435,0.6904761904761905,4,True,False,
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7187678265830005,0.7188016857723856,0.7185433557013952,0.7909321558430293,0.553124267763451,93.7470681667328,24.66270613670349,ok,,35060,28048,0,8765,0.5609074831008911,45,1e-05,True,93.4448835849762,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.7883437594261059,0.7924799031247813,0.7139189960068454,0.7114945807187678,7,True,False,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8851851851851852,0.883839227996472,0.8071704433333176,0.9725621413036504,0.3021326004020527,47.88285446166992,3.5732438564300537,ok,,8640,6912,0,2160,0.3061249852180481,25,1e-05,True,47.68090963363648,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9649145982054098,0.9681399774154804,0.8674768518518519,0.8738425925925926,17,True,False,
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.8033333333333333,0.7961465279630122,0.7378673957621326,0.8231505336768494,0.4538117058789082,3.2258071899414062,0.3036196231842041,ok,,1200,960,0,300,0.4361899197101593,8,1e-05,True,3.1982574462890625,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8249528340579115,0.8249528340579115,0.7666666666666667,0.7666666666666667,0,True,False,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.6727529066015349,0.6781250000000001,0.72978515625,0.6015619283103112,5.361689567565918,0.5508594512939453,ok,,1280,1024,0,320,0.646406352519989,10,1e-05,True,5.302006006240845,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.67071533203125,0.671142578125,0.65234375,0.64453125,2,True,False,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,0.6810506566604128,0.68125,0.75955078125,0.5656284292963456,5.499858379364014,0.5701007843017578,ok,,1280,1024,0,320,0.5294815301895142,10,1e-05,True,5.4412994384765625,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.71820068359375,0.719573974609375,0.671875,0.66796875,2,True,False,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6126315789473684,0.5664220544780934,0.4222363774177564,0.707506125076442,0.7898800574616557,17.653764724731445,1.3471958637237549,ok,,3796,3036,0,950,0.7846498489379883,22,1e-05,True,17.594812870025635,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.6748721072245575,0.6788016075346702,0.6092105263157894,0.6118421052631579,14,True,False,
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data178/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8470886075949368,0.8462368646654465,0.8283058954590364,0.972801326150932,0.4322826913077344,65.75474739074707,4.134371995925903,ok,,7898,6318,0,1975,0.5630354881286621,30,1e-05,True,65.54086208343506,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.948143365819948,0.955472930740986,0.7879746835443038,0.8006329113924051,24,False,False,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8021920668058455,0.8056503154010644,0.7549407013923389,0.8113254244258945,0.4291463234129257,61.95024728775024,7.151583909988403,ok,,15326,12260,0,3832,0.4124898314476013,40,1e-05,True,61.70848178863525,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.8086660247178692,0.8116465418559138,0.8036529680365296,0.8052837573385518,12,True,False,
