dataset_name,dataset_dir,method,context_length,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_b,n_holdout_c,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_step_losses
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,ttt,10,binclass,920,184,231,19,2,0.5930735930735931,1.871657133102417,0.1050114631652832,ok,,690,230,0.0326921232044696,20,1e-05,True,1.835019588470459,stratified,stratified split,"[0.6495124697685242, 0.6532810926437378, 0.6367656588554382, 0.5941710472106934, 0.5501369833946228, 0.5251336097717285, 0.4881289601325989, 0.4540959596633911, 0.4191335141658783, 0.3830181062221527, 0.347572386264801, 0.3100058436393738, 0.26848354935646057, 0.2282077521085739, 0.1882331520318985, 0.14633239805698395, 0.110314279794693, 0.0800776556134224, 0.05363457277417183, 0.03269212320446968]"
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,baseline,10,binclass,8799,1760,2200,10,2,0.5895454545454546,0.3306450843811035,0.6001276969909668,ok,,0,0,,0,,False,0.0,,,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,ttt,10,binclass,8799,1760,2200,10,2,0.5881818181818181,16.931750535964966,0.6400494575500488,ok,,6599,2200,0.4316637217998504,20,1e-05,True,16.90027356147766,stratified,stratified split,"[0.5309059619903564, 0.5287011861801147, 0.5267185568809509, 0.5253522396087646, 0.5229429602622986, 0.5192528367042542, 0.5163956880569458, 0.5108847618103027, 0.5057222247123718, 0.5020001530647278, 0.49759727716445923, 0.4908140301704407, 0.485915869474411, 0.47839388251304626, 0.47169044613838196, 0.46547168493270874, 0.4570136070251465, 0.4479678273200989, 0.44120991230010986, 0.43166372179985046]"
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,baseline,10,binclass,3722,745,931,8,2,0.6627282491944146,0.3248050212860107,0.254957914352417,ok,,0,0,,0,,False,0.0,,,
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,ttt,10,binclass,3722,745,931,8,2,0.6638023630504833,4.82463812828064,0.2727899551391601,ok,,2791,931,0.3834460079669952,20,1e-05,True,4.798182487487793,stratified,stratified split,"[0.5106565356254578, 0.4983717203140259, 0.49073925614356995, 0.4865976572036743, 0.4781337082386017, 0.4742145836353302, 0.4662536680698395, 0.45853257179260254, 0.452043741941452, 0.44359222054481506, 0.4373742640018463, 0.4308067858219147, 0.4236976206302643, 0.4168938100337982, 0.4101233184337616, 0.40364593267440796, 0.3977457582950592, 0.39348939061164856, 0.3873690068721771, 0.38344600796699524]"
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,baseline,10,binclass,7896,1580,1975,23,2,0.5878481012658228,0.340320348739624,0.722966194152832,ok,,0,0,,0,,False,0.0,,,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,ttt,10,binclass,7896,1580,1975,23,2,0.5837974683544304,14.922860860824583,0.7321555614471436,ok,,5922,1974,0.4036013782024383,20,1e-05,True,14.88073229789734,stratified,stratified split,"[0.5756033062934875, 0.5677899122238159, 0.5597934722900391, 0.5500911474227905, 0.5410466194152832, 0.5358029007911682, 0.5280119180679321, 0.5204190015792847, 0.514204204082489, 0.506891131401062, 0.49934136867523193, 0.4925437867641449, 0.4844757914543152, 0.47584182024002075, 0.46668392419815063, 0.45577678084373474, 0.44438523054122925, 0.43197932839393616, 0.4181163012981415, 0.40360137820243835]"
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,baseline,10,binclass,1467,294,367,10,2,0.4877384196185286,0.3334434032440185,0.1258883476257324,ok,,0,0,,0,,False,0.0,,,
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,ttt,10,binclass,1467,294,367,10,2,0.4877384196185286,1.8574023246765137,0.1249024868011474,ok,,1100,367,0.3373737335205078,20,1e-05,True,1.8323755264282229,stratified,stratified split,"[0.6288928389549255, 0.5889667868614197, 0.5778652429580688, 0.5668088793754578, 0.557509183883667, 0.5478867292404175, 0.537484884262085, 0.5268420577049255, 0.5181776285171509, 0.505609393119812, 0.494219571352005, 0.4804144501686096, 0.4663236439228058, 0.4528545141220093, 0.43625521659851074, 0.41725072264671326, 0.3992045223712921, 0.3785245418548584, 0.3587090075016022, 0.3373737335205078]"
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,baseline,10,binclass,35060,7012,8765,10,2,0.4962920707358813,0.3335461616516113,2.190345287322998,ok,,0,0,,0,,False,0.0,,,
