dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7220764403879064,0.7220514955581413,351.7968533039093,24.412293195724487,ok,,35060,28048,0,8765,0.5631538778543472,10,5e-06,True,351.53113770484924,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7191956645750143,0.7191956645750143,0,True,False,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7124928693667998,0.7125375761095587,493.0726006031037,24.38063073158264,ok,,35060,28048,0,8765,0.5552656687796116,14,5e-06,True,492.7390644550324,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7137763833428409,0.7147746719908727,2,True,False,
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7106674272675414,0.7106555212927994,560.8511595726013,24.35217666625977,ok,,35060,28048,0,8765,0.5457450374960899,16,5e-06,True,560.5288286209106,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7086423274386765,0.7153451226468911,8,False,False,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7275204359673024,0.7272531562094675,10.854660749435425,0.4633424282073974,ok,,1467,1173,0,367,0.5342271663248539,5,5e-06,True,10.819439888000488,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7006802721088435,0.7006802721088435,0,True,False,
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7164860239589276,0.7165519457775467,560.2833843231201,24.385994911193848,ok,,35060,28048,0,8765,0.5353004820644855,16,5e-06,True,560.0015029907227,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7119224187107815,0.7177695379349687,8,False,False,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8828703703703704,0.8817023645843417,94.62320923805235,3.499228477478028,ok,,8640,6912,0,2160,0.3211192358285188,8,5e-06,True,94.45611476898192,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.8663194444444444,0.8721064814814815,8,False,False,
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.8,0.7922205310333165,11.60554814338684,0.2706310749053955,ok,,1200,960,0,300,0.5045134872198105,7,5e-06,True,11.573827505111694,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7666666666666667,0.775,2,True,False,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.675,0.6693032314479908,17.775886297225952,0.5379600524902344,ok,,1280,1024,0,320,0.6159355267882347,8,5e-06,True,17.71200132369995,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.6484375,0.65625,4,False,False,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,0.6810506566604128,13.698896646499634,0.5358774662017822,ok,,1280,1024,0,320,0.5288144871592522,6,5e-06,True,13.636815786361694,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.66796875,0.671875,1,True,False,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6105263157894737,0.5661801402849402,33.2556517124176,1.2589163780212402,ok,,3796,3036,0,950,0.8196118660271168,8,5e-06,True,33.19261908531189,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.6157894736842106,0.6223684210526316,8,False,False,
