dataset_name,compare_result,accuracy_ttt,accuracy_baseline,delta_accuracy,delta_pp,n_features_data178,n_total_data178,train_size_data178,val_size_data178,test_size_data178,n_num_features_data178,n_cat_features_data178,n_classes,task_type,ttt_applied,ttt_steps,ttt_oom_fallback
dna,improved,0.974921630094044,0.9733542319749215,0.0015673981191224318,0.15673981191224318,180,3186,2038,510,638,0,180,3.0,multiclass,True,8,False
online_shoppers,improved,0.9067315490673156,0.9051094890510948,0.0016220600162207832,0.16220600162207832,14,12330,7891,1973,2466,5,9,2.0,binclass,True,8,False
microaggregation2,improved,0.64425,0.6425,0.0017500000000000293,0.17500000000000293,20,20000,12800,3200,4000,20,0,5.0,multiclass,True,8,False
BNG(tic-tac-toe),improved,0.81750063500127,0.8157226314452629,0.0017780035560071017,0.17780035560071017,9,39366,25193,6299,7874,0,9,2.0,binclass,True,16,False
wall-robot-navigation,improved,0.9862637362637364,0.9844322344322344,0.001831501831502047,0.1831501831502047,24,5456,3491,873,1092,24,0,4.0,multiclass,True,8,False
kr-vs-k,improved,0.9265858873841768,0.9246258018531718,0.001960085531005018,0.1960085531005018,6,28056,17955,4489,5612,3,3,18.0,multiclass,False,0,False
internet_usage,improved,0.5484668644906033,0.5464886251236399,0.001978239366963397,0.1978239366963397,70,10108,6468,1618,2022,0,70,46.0,multiclass,False,0,False
ada_agnostic,improved,0.8422782037239869,0.8400876232201533,0.0021905805038335835,0.21905805038335835,48,4562,2919,730,913,48,0,,binclass,True,8,False
National_Health_and_Nutrition_Health_Survey,improved,0.8377192982456141,0.8355263157894737,0.002192982456140413,0.21929824561404132,7,2278,1457,365,456,7,0,,binclass,True,8,False
estimation_of_obesity_levels,improved,0.9952718676122932,0.9929078014184396,0.0023640661938536534,0.23640661938536534,16,2111,1350,338,423,8,8,,multiclass,True,8,False
ada,improved,0.8626506024096385,0.8602409638554217,0.002409638554216831,0.24096385542168308,48,4147,2653,664,830,48,0,2.0,binclass,True,8,False
Mobile_Price_Classification,improved,0.97,0.9675,0.0024999999999999467,0.24999999999999467,20,2000,1280,320,400,14,6,,multiclass,True,8,False
