dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,roc_auc,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
one-hundred-plants-shape,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-shape,multiclass,1280,256,320,64,100,0.8125,0.7958258928571429,0.994144612932423,0.0560131072998046,183.7048761844635,ok,,1280,0,0,320,,0,1e-05,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,
optdigits,/home/crc00006699/zh/tabiclv2/data178/optdigits,multiclass,4496,900,1124,64,10,0.9955516014234876,0.99555538332432,0.9999894263963194,15.374834299087524,6.179812431335449,ok,,4496,3596,0,1124,,8,1e-05,True,15.374496698379517,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
pc1,/home/crc00006699/zh/tabiclv2/data178/pc1,binclass,887,178,222,21,2,0.9369369369369368,0.9219148393676696,0.8922705314009662,8.103779792785645,1.798996925354004,ok,,887,709,0,222,,8,1e-05,True,8.103470087051392,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
pendigits,/home/crc00006699/zh/tabiclv2/data178/pendigits,multiclass,8793,1759,2199,16,10,0.9977262391996362,0.997728980559483,0.99969959168165,14.594866275787354,5.515299320220947,ok,,8793,7034,0,2199,,8,1e-05,True,14.59454894065857,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
predict_students_dropout_and_academic_success,/home/crc00006699/zh/tabiclv2/data178/predict_students_dropout_and_academic_success,multiclass,3539,708,885,34,3,0.7819209039548023,0.7717779278098276,0.8905582395211518,12.313979864120483,3.7191262245178223,ok,,3539,2831,0,885,,8,1e-05,True,12.313623189926147,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
ringnorm,/home/crc00006699/zh/tabiclv2/data178/ringnorm,binclass,5920,1184,1480,20,2,0.9527027027027029,0.9526475486299364,0.9976020498547168,11.285960912704468,4.122623443603516,ok,,5920,4736,0,1480,,8,1e-05,True,11.285648107528688,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
segment,/home/crc00006699/zh/tabiclv2/data178/segment,multiclass,1848,370,462,17,7,0.9372294372294372,0.9371303111999676,0.9960918710918713,8.521925210952759,1.8348593711853027,ok,,1848,1478,0,462,,8,1e-05,True,8.521617889404297,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
shuttle,/home/crc00006699/zh/tabiclv2/data178/shuttle,multiclass,46400,9280,11600,9,7,0.9995689655172414,0.9995590779069954,0.9999985015880488,91.6606147289276,54.8749885559082,ok,,46400,37120,0,11600,,16,1e-05,True,91.66026878356934,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
sports_articles_for_objectivity_analysis,/home/crc00006699/zh/tabiclv2/data178/sports_articles_for_objectivity_analysis,binclass,800,160,200,59,2,0.85,0.8473262032085561,0.9016287347643188,9.24845838546753,1.845890045166016,ok,,800,640,0,200,,8,1e-05,True,9.248018264770508,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
sylvine,/home/crc00006699/zh/tabiclv2/data178/sylvine,binclass,4099,820,1025,20,2,0.9736585365853658,0.9736583861516886,0.997974537037037,9.710361957550049,3.086995840072632,ok,,4099,3279,0,1025,,8,1e-05,True,9.71005129814148,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
texture,/home/crc00006699/zh/tabiclv2/data178/texture,multiclass,4400,880,1100,40,11,1.0,1.0,1.0,0.0374019145965576,282.3351106643677,ok,,4400,0,0,1100,,0,1e-05,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,
