dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,causal_shuffle_n_features,causal_shuffle_feature_indices,causal_selector_seconds,causal_selector_status,causal_graph_png,causal_graph_json
ada_prior,/home/crc00006699/zh/tabiclv2/data178/ada_prior,binclass,3649,730,913,14,2,0.8400876232201533,0.5360705852508545,1.1699070930480957,ok,,8,"2,4,6,8,10,11,12,13",0.1311461925506591,ok selected=8 candidates=14 samples=3649,baseline/iclv1.1_casual_ensmble32/causal_graphs/ada_prior.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/ada_prior.json
allrep,/home/crc00006699/zh/tabiclv2/data178/allrep,multiclass,3017,604,755,29,4,0.9788079470198676,0.4245853424072265,0.8799002170562744,ok,,3,"1,8,22",0.0091657638549804,ok selected=3 candidates=29 samples=3017,baseline/iclv1.1_casual_ensmble32/causal_graphs/allrep.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/allrep.json
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data178/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.516,0.5964419841766357,1.507793664932251,ok,,5,"20,46,49,50,93",0.0389142036437988,ok selected=5 candidates=100 samples=2000,baseline/iclv1.1_casual_ensmble32/causal_graphs/autoUniv-au4-2500.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/autoUniv-au4-2500.json
banknote_authentication,/home/crc00006699/zh/tabiclv2/data178/banknote_authentication,binclass,1097,220,275,4,2,0.5490909090909091,0.3304686546325683,0.1315762996673584,ok,,3,"1,2,3",0.0008656978607177,ok selected=3 candidates=4 samples=1097,baseline/iclv1.1_casual_ensmble32/causal_graphs/banknote_authentication.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/banknote_authentication.json
churn,/home/crc00006699/zh/tabiclv2/data178/churn,binclass,4000,800,1000,20,2,0.952,0.4913549423217773,1.2898719310760498,ok,,8,"1,2,3,10,13,16,18,19",0.0972568988800048,ok selected=8 candidates=20 samples=4000,baseline/iclv1.1_casual_ensmble32/causal_graphs/churn.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/churn.json
compass,/home/crc00006699/zh/tabiclv2/data178/compass,binclass,13315,2663,3329,17,2,0.8323820967257435,0.6456680297851562,5.410771369934082,ok,,8,"0,4,7,12,13,14,15,16",0.1336925029754638,ok selected=8 candidates=17 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/compass.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/compass.json
customer_satisfaction_in_airline,/home/crc00006699/zh/tabiclv2/data178/customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.9613874345549738,2.656825304031372,254.60571599006653,ok,,10,"0,2,5,8,9,10,11,12,14,19",0.3558216094970703,ok selected=10 candidates=21 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/customer_satisfaction_in_airline.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/customer_satisfaction_in_airline.json
delta_ailerons,/home/crc00006699/zh/tabiclv2/data178/delta_ailerons,binclass,5703,1141,1426,5,2,0.9509116409537168,0.3824810981750488,0.6689186096191406,ok,,3,"0,2,3",0.0049779415130615,ok selected=3 candidates=5 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/delta_ailerons.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/delta_ailerons.json
drug_consumption,/home/crc00006699/zh/tabiclv2/data178/drug_consumption,multiclass,1507,302,377,12,7,0.403183023872679,0.3503029346466064,0.4517505168914795,ok,,3,"2,9,11",0.002155065536499,ok selected=3 candidates=12 samples=1507,baseline/iclv1.1_casual_ensmble32/causal_graphs/drug_consumption.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/drug_consumption.json
electricity,/home/crc00006699/zh/tabiclv2/data178/electricity,binclass,36249,7250,9063,8,2,0.9032329250799956,0.6015572547912598,9.03639006614685,ok,,3,"0,3,4",0.0104656219482421,ok selected=3 candidates=8 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/electricity.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/electricity.json
eye_movements_bin,/home/crc00006699/zh/tabiclv2/data178/eye_movements_bin,binclass,6086,1218,1522,20,2,0.6182654402102497,0.4618594646453857,1.1028685569763184,ok,,4,"6,14,18,19",0.0221631526947021,ok selected=4 candidates=20 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/eye_movements_bin.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/eye_movements_bin.json
gina_agnostic,/home/crc00006699/zh/tabiclv2/data178/gina_agnostic,binclass,2774,555,694,970,2,0.899135446685879,5.099088191986084,111.6309506893158,ok,,60,"6,32,50,75,82,92,142,153,157,162,167,183,184,235,240,245,250,254,265,296,330,366,380,382,402,420,423,440,442,482,488,501,532,537,573,590,627,647,668,674,705,706,728,735,753,757,778,814,826,830,835,856,861,876,899,907,908,920,921,938",2.32483172416687,ok selected=60 candidates=128 samples=2774,baseline/iclv1.1_casual_ensmble32/causal_graphs/gina_agnostic.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/gina_agnostic.json
hill-valley,/home/crc00006699/zh/tabiclv2/data178/hill-valley,binclass,969,194,243,100,2,0.9012345679012346,0.5069220066070557,0.368910551071167,ok,,3,"36,77,84",0.0193231105804443,ok selected=3 candidates=100 samples=969,baseline/iclv1.1_casual_ensmble32/causal_graphs/hill-valley.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/hill-valley.json
ibm-employee-performance,/home/crc00006699/zh/tabiclv2/data178/ibm-employee-performance,binclass,1176,236,294,30,2,1.0,0.3876576423645019,0.205198049545288,ok,,3,"0,20,27",0.0046257972717285,ok selected=3 candidates=30 samples=1176,baseline/iclv1.1_casual_ensmble32/causal_graphs/ibm-employee-performance.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/ibm-employee-performance.json
internet_usage,/home/crc00006699/zh/tabiclv2/data178/internet_usage,multiclass,8086,1618,2022,70,46,0.5182987141444114,1.3714067935943604,9.590139865875244,ok,,14,"0,10,19,20,21,27,32,37,38,60,64,65,66,69",0.4929254055023193,ok selected=14 candidates=70 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/internet_usage.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/internet_usage.json
kc1,/home/crc00006699/zh/tabiclv2/data178/kc1,binclass,1687,338,422,21,2,0.8767772511848341,0.3871779441833496,0.3383855819702148,ok,,3,"2,16,17",0.0180006027221679,ok selected=3 candidates=21 samples=1687,baseline/iclv1.1_casual_ensmble32/causal_graphs/kc1.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/kc1.json
kropt,/home/crc00006699/zh/tabiclv2/data178/kropt,multiclass,22444,4489,5612,6,18,0.8526372059871703,0.4831206798553467,23.82616877555847,ok,,3,"0,1,5",0.0063045024871826,ok selected=3 candidates=6 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/kropt.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/kropt.json
letter,/home/crc00006699/zh/tabiclv2/data178/letter,multiclass,16000,3200,4000,15,26,0.98425,0.6709136962890625,16.163605213165283,ok,,8,"5,6,8,9,10,11,12,14",0.164623737335205,ok selected=8 candidates=15 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/letter.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/letter.json
maternal_health_risk,/home/crc00006699/zh/tabiclv2/data178/maternal_health_risk,multiclass,811,163,203,6,3,0.8719211822660099,0.3566861152648926,0.3094234466552734,ok,,3,"0,2,3",0.0028378963470458,ok selected=3 candidates=6 samples=811,baseline/iclv1.1_casual_ensmble32/causal_graphs/maternal_health_risk.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/maternal_health_risk.json
mfeat-karhunen,/home/crc00006699/zh/tabiclv2/data178/mfeat-karhunen,multiclass,1600,320,400,64,10,0.975,0.8341593742370605,1.001554250717163,ok,,16,"1,5,6,7,9,10,11,13,14,18,26,28,33,37,53,61",0.4028961658477783,ok selected=16 candidates=64 samples=1600,baseline/iclv1.1_casual_ensmble32/causal_graphs/mfeat-karhunen.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/mfeat-karhunen.json
mfeat-zernike,/home/crc00006699/zh/tabiclv2/data178/mfeat-zernike,multiclass,1600,320,400,47,10,0.8825,0.5185959339141846,0.8457190990447998,ok,,6,"4,18,20,23,28,38",0.1156113147735595,ok selected=6 candidates=47 samples=1600,baseline/iclv1.1_casual_ensmble32/causal_graphs/mfeat-zernike.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/mfeat-zernike.json
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/data178/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.990533230293663,0.4879372119903564,11.10163402557373,ok,,3,"0,1,5",0.005580186843872,ok selected=3 candidates=6 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/mobile_c36_oversampling.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/mobile_c36_oversampling.json
national-longitudinal-survey-binary,/home/crc00006699/zh/tabiclv2/data178/national-longitudinal-survey-binary,binclass,3926,786,982,16,2,0.9989816700610998,0.4131515026092529,0.6532976627349854,ok,,4,"1,6,8,15",0.0314595699310302,ok selected=4 candidates=16 samples=3926,baseline/iclv1.1_casual_ensmble32/causal_graphs/national-longitudinal-survey-binary.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/national-longitudinal-survey-binary.json
