dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,causal_shuffle_n_features,causal_shuffle_feature_indices,causal_selector_seconds,causal_selector_status,causal_graph_png,causal_graph_json
baseball,/home/crc00006699/zh/tabiclv2/data178/baseball,multiclass,1072,215,268,16,3,0.9552238805970149,0.36095595359802246,0.2475285530090332,ok,,3,"7,9,13",0.01578545570373535,ok selected=3 candidates=16 samples=1072,baseline/iclv1.1_casual_ensmble32/causal_graphs/baseball.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/baseball.json
cmc,/home/crc00006699/zh/tabiclv2/data178/cmc,multiclass,1178,236,295,9,3,0.6,0.34639692306518555,0.26154208183288574,ok,,4,"0,6,7,8",0.008883953094482422,ok selected=4 candidates=9 samples=1178,baseline/iclv1.1_casual_ensmble32/causal_graphs/cmc.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/cmc.json
contraceptive_method_choice,/home/crc00006699/zh/tabiclv2/data178/contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6237288135593221,0.343630313873291,0.21721816062927246,ok,,3,"5,7,8",0.007285594940185547,ok selected=3 candidates=9 samples=1178,baseline/iclv1.1_casual_ensmble32/causal_graphs/contraceptive_method_choice.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/contraceptive_method_choice.json
dabetes_130-us_hospitals,/home/crc00006699/zh/tabiclv2/data178/dabetes_130-us_hospitals,binclass,81412,16283,20354,20,2,0.6409059644295961,1.891824722290039,83.73180198669434,ok,,6,"4,11,14,16,18,19",0.07110095024108887,ok selected=6 candidates=20 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/dabetes_130-us_hospitals.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/dabetes_130-us_hospitals.json
dis,/home/crc00006699/zh/tabiclv2/data178/dis,binclass,3017,604,755,29,2,0.9841059602649007,0.46548891067504883,0.5457367897033691,ok,,3,"1,24,26",0.008722543716430664,ok selected=3 candidates=29 samples=3017,baseline/iclv1.1_casual_ensmble32/causal_graphs/dis.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/dis.json
dry_bean_dataset,/home/crc00006699/zh/tabiclv2/data178/dry_bean_dataset,multiclass,10888,2178,2723,16,7,0.9272860815277267,0.5606496334075928,4.110493183135986,ok,,5,"1,2,4,10,12",0.08111071586608887,ok selected=5 candidates=16 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/dry_bean_dataset.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/dry_bean_dataset.json
estimation_of_obesity_levels,/home/crc00006699/zh/tabiclv2/data178/estimation_of_obesity_levels,multiclass,1688,338,423,16,7,0.9858156028368794,0.39476728439331055,0.5658719539642334,ok,,6,"1,3,6,8,10,14",0.03849387168884277,ok selected=6 candidates=16 samples=1688,baseline/iclv1.1_casual_ensmble32/causal_graphs/estimation_of_obesity_levels.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/estimation_of_obesity_levels.json
first-order-theorem-proving,/home/crc00006699/zh/tabiclv2/data178/first-order-theorem-proving,multiclass,4894,979,1224,51,6,0.6388888888888888,0.8587806224822998,2.441908359527588,ok,,8,"2,8,9,15,19,28,33,34",0.33315062522888184,ok selected=8 candidates=51 samples=4894,baseline/iclv1.1_casual_ensmble32/causal_graphs/first-order-theorem-proving.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/first-order-theorem-proving.json
golf_play_dataset_extended,/home/crc00006699/zh/tabiclv2/data178/golf_play_dataset_extended,binclass,876,176,219,9,2,0.9315068493150684,0.34851789474487305,0.36231303215026855,ok,,5,"3,4,5,7,8",0.011017322540283203,ok selected=5 candidates=9 samples=876,baseline/iclv1.1_casual_ensmble32/causal_graphs/golf_play_dataset_extended.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/golf_play_dataset_extended.json
house_16H,/home/crc00006699/zh/tabiclv2/data178/house_16H,binclass,10790,2158,2698,16,2,0.8921423276501111,0.7200286388397217,4.049725770950317,ok,,8,"2,3,4,9,12,13,14,15",0.2573738098144531,ok selected=8 candidates=16 samples=5000,baseline/iclv1.1_casual_ensmble32/causal_graphs/house_16H.png,baseline/iclv1.1_casual_ensmble32/causal_graphs/house_16H.json
