dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
kdd_ipums_la_97-small,/home/crc00006699/zh/tabiclv2/data178/kdd_ipums_la_97-small,binclass,4150,830,1038,20,2,0.8853564547206165,0.8849051311987581,0.8853564547206165,0.9505552028690124,0.2568573769044814,0.615208625793457,1.6973066329956057,ok,
kropt,/home/crc00006699/zh/tabiclv2/data178/kropt,multiclass,22444,4489,5612,6,18,0.9164290805416964,0.916335241288993,0.9030691720131352,0.9977791407022818,0.2397020323865644,0.5231320858001709,26.392699480056763,ok,
led7,/home/crc00006699/zh/tabiclv2/data178/led7,multiclass,2560,512,640,7,10,0.7390625,0.7348809865674293,0.7371144838134168,0.9595203795177796,0.7794003607523192,0.3891925811767578,0.8268837928771973,ok,
madeline,/home/crc00006699/zh/tabiclv2/data178/madeline,binclass,2512,503,628,259,2,0.9235668789808916,0.9235645531228877,0.9235434923726062,0.9768033917559236,0.1907436470134321,0.9261188507080078,6.969909429550171,ok,
maternal_health_risk,/home/crc00006699/zh/tabiclv2/data178/maternal_health_risk,multiclass,811,163,203,6,3,0.8719211822660099,0.8701077326808658,0.8734096074062906,0.9621390033883976,0.3317811481827289,0.513498067855835,0.6137704849243164,ok,
mfeat-fourier,/home/crc00006699/zh/tabiclv2/data178/mfeat-fourier,multiclass,1600,320,400,76,10,0.9225,0.9218915524806744,0.9225,0.9951180555555555,0.2061025649873424,0.6503229141235352,1.4719629287719729,ok,
mfeat-morphological,/home/crc00006699/zh/tabiclv2/data178/mfeat-morphological,multiclass,1600,320,400,6,10,0.77,0.7619729916146867,0.7699999999999999,0.9741041666666668,0.4927334706374584,0.6019618511199951,0.5189743041992188,ok,
mfeat-zernike,/home/crc00006699/zh/tabiclv2/data178/mfeat-zernike,multiclass,1600,320,400,47,10,0.8975,0.8961952300745445,0.8975,0.9925694444444444,0.2205679472212307,0.4317491054534912,1.034477710723877,ok,
microaggregation2,/home/crc00006699/zh/tabiclv2/data178/microaggregation2,multiclass,16000,3200,4000,20,5,0.6445,0.5978512114251717,0.438067173379301,0.8357834054145904,0.8613286429380488,0.6523215770721436,8.489731073379517,ok,
mozilla4,/home/crc00006699/zh/tabiclv2/data178/mozilla4,binclass,12436,2488,3109,4,2,0.944033451270505,0.9434198517226944,0.926606745513415,0.9780999140143484,0.1591731106087494,0.4223196506500244,2.2762322425842285,ok,
national-longitudinal-survey-binary,/home/crc00006699/zh/tabiclv2/data178/national-longitudinal-survey-binary,binclass,3926,786,982,16,2,1.0,1.0,1.0,1.0,0.000238956362367,0.4462275505065918,1.4678497314453125,ok,
one-hundred-plants-margin,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-margin,multiclass,1280,256,320,64,100,0.903125,0.9008283730158728,0.9041666666666668,0.9990319982962638,0.3318854545008676,0.5776669979095459,6.27116847038269,ok,
one-hundred-plants-texture,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-texture,multiclass,1279,256,320,64,100,0.928125,0.9280704365079364,0.93,0.9995710794100812,0.2260649364695971,0.5980446338653564,6.5061774253845215,ok,
optdigits,/home/crc00006699/zh/tabiclv2/data178/optdigits,multiclass,4496,900,1124,64,10,0.9973309608540926,0.997330908588654,0.9973370927318296,0.9999911977553776,0.0091045010508547,0.7095248699188232,3.466867685317993,ok,
page-blocks,/home/crc00006699/zh/tabiclv2/data178/page-blocks,multiclass,4378,876,1095,10,5,0.9771689497716894,0.9769424468656428,0.8995303112955375,0.9918795167484772,0.0860641334771596,0.414170503616333,1.4598805904388428,ok,
pc3,/home/crc00006699/zh/tabiclv2/data178/pc3,binclass,1250,250,313,37,2,0.9009584664536742,0.8713234468060816,0.5571619217081851,0.8390791814946619,0.2603742499232982,0.5838873386383057,0.7895190715789795,ok,
pendigits,/home/crc00006699/zh/tabiclv2/data178/pendigits,multiclass,8793,1759,2199,16,10,0.9972714870395636,0.9972742335430836,0.9972309029574288,0.9998058625154858,0.0120298719253893,0.6655917167663574,3.610067367553711,ok,
pol,/home/crc00006699/zh/tabiclv2/data178/pol,binclass,8065,1613,2017,26,2,0.9940505701536936,0.9940505672289106,0.9940510602985826,0.9997551795743074,0.0208046739215171,0.707942008972168,3.811887502670288,ok,
qsar,/home/crc00006699/zh/tabiclv2/data178/qsar,binclass,844,169,211,40,2,0.9004739336492891,0.8995308002250411,0.8798792756539235,0.954728370221328,0.2664174320401423,0.6743180751800537,1.323923110961914,ok,
ringnorm,/home/crc00006699/zh/tabiclv2/data178/ringnorm,binclass,5920,1184,1480,20,2,0.9797297297297296,0.9797268415464132,0.979651210572166,0.9972587028422925,0.0603210948600398,0.6486020088195801,2.4388463497161865,ok,
satimage,/home/crc00006699/zh/tabiclv2/data178/satimage,multiclass,5144,1029,1286,36,6,0.9416796267496113,0.9403661525823096,0.9237728144634124,0.9965373733200872,0.1381777692143275,0.5479724407196045,2.675827741622925,ok,
seismic+bumps,/home/crc00006699/zh/tabiclv2/data178/seismic+bumps,binclass,2067,414,517,18,2,0.9342359767891684,0.9024719535783364,0.5,0.7202837656801852,0.229370343359144,0.4855358600616455,0.7505466938018799,ok,
shuttle,/home/crc00006699/zh/tabiclv2/data178/shuttle,multiclass,46400,9280,11600,9,7,0.9993103448275862,0.9993053493768193,0.919757534569506,0.999995956043772,0.0010352882387268,0.7529959678649902,39.64209866523743,ok,
splice,/home/crc00006699/zh/tabiclv2/data178/splice,multiclass,2552,511,638,60,3,0.9608150470219436,0.9607765132232094,0.9538905861102412,0.996896269173741,0.0975799984189744,0.8686208724975586,1.9704289436340328,ok,
statlog,/home/crc00006699/zh/tabiclv2/data178/statlog,binclass,800,160,200,20,2,0.73,0.7165280665280664,0.6404761904761905,0.7598809523809524,0.5213678978966343,0.4002778530120849,0.8712520599365234,ok,
sylvine,/home/crc00006699/zh/tabiclv2/data178/sylvine,binclass,4099,820,1025,20,2,0.977560975609756,0.9775608474625496,0.9775638096978556,0.998534204434698,0.0511710536868218,0.5199997425079346,1.6445050239562988,ok,
telco-customer-churn,/home/crc00006699/zh/tabiclv2/data178/telco-customer-churn,binclass,5634,1127,1409,18,2,0.8055358410220014,0.7975092184456082,0.7165090805755767,0.8515836110465267,0.4090985564945014,0.5136489868164062,2.2487409114837646,ok,
thyroid,/home/crc00006699/zh/tabiclv2/data178/thyroid,multiclass,5760,1152,1440,21,3,0.9958333333333332,0.995835174762004,0.9745432877465886,0.999827209859128,0.0113334622103812,0.4697239398956299,2.449114322662353,ok,
thyroid-dis,/home/crc00006699/zh/tabiclv2/data178/thyroid-dis,multiclass,2240,448,560,26,5,0.6982142857142857,0.6783923802078972,0.4109996425592756,0.8838880720498905,0.6946470903638317,0.6126327514648438,1.0696909427642822,ok,
twonorm,/home/crc00006699/zh/tabiclv2/data178/twonorm,binclass,5920,1184,1480,20,2,0.9777027027027028,0.9777023464142108,0.977709053522742,0.9984422908003848,0.0520247256149873,0.5363888740539551,2.4033491611480717,ok,
volkert,/home/crc00006699/zh/tabiclv2/data178/volkert,multiclass,46648,9330,11662,180,10,0.7511576058995026,0.7464453240897367,0.6946201303333717,0.9613467417728664,0.7120076977564387,5.821094274520874,224.47754096984863,ok,
wall-robot-navigation,/home/crc00006699/zh/tabiclv2/data178/wall-robot-navigation,multiclass,4364,873,1092,24,4,0.9935897435897436,0.9935906981990156,0.9885848278705422,0.9999535857385144,0.0152902003935105,0.4855372905731201,1.942690372467041,ok,
waveform-5000,/home/crc00006699/zh/tabiclv2/data178/waveform-5000,multiclass,4000,800,1000,40,3,0.865,0.8649918882185322,0.8650911409451961,0.9782348820370056,0.258950101065464,0.4977123737335205,2.21329665184021,ok,
waveform_database_generator_version_1,/home/crc00006699/zh/tabiclv2/data178/waveform_database_generator_version_1,multiclass,4000,800,1000,21,3,0.871,0.8705334846679682,0.8708938469715716,0.9728375791046724,0.2924337073546543,0.4471478462219238,1.620636224746704,ok,
wine,/home/crc00006699/zh/tabiclv2/data178/wine,binclass,2043,409,511,4,2,0.786692759295499,0.7858267268299804,0.7868183210784314,0.881985294117647,0.4331558243326853,0.4975414276123047,0.3091180324554443,ok,
wine-quality-white,/home/crc00006699/zh/tabiclv2/data178/wine-quality-white,multiclass,3918,784,980,11,7,0.689795918367347,0.6817477617181938,0.4024815268187875,0.9113259056736284,0.7506479211277776,0.3904597759246826,1.3048925399780271,ok,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9441562404638388,0.9294777284745342,0.5778265839146273,0.8343142512257914,0.1663157519817883,1.052586793899536,13.000686407089232,ok,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239524,0.9880774596607574,0.9880918254272,0.9990907651773496,0.0343236415690793,0.646003007888794,20.24165940284729,ok,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8148336296672594,0.8127924569695848,0.7858749171640029,0.8827866104146994,0.4067285411439342,0.7009820938110352,20.28054189682007,ok,
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.6996191714905836,0.6777699031419797,0.7436806047720291,0.578142398832161,0.5046069622039795,0.525444507598877,ok,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7322142857142857,0.7317897470574969,0.7321916268380823,0.800756373716367,0.5431197788010976,0.8458647727966309,55.76278185844421,ok,
