dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy_iclv2_ensmble8,accuracy_tabpfnv3,delta_tabpfnv3_minus_iclv2_ensmble8,delta_correct_estimate,winner
Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8768518518518519,0.8837962962962963,0.00694444444444442,14.999999999999947,tabpfnv3_results
Fitness_Club_c,binclass,1200,240,300,6,2,0.8033333333333333,0.7966666666666666,-0.00666666666666671,-2.000000000000013,iclv2_ensmble8
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.678125,0.0,0.0,tie
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.684375,0.678125,-0.006249999999999978,-1.999999999999993,iclv2_ensmble8
Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6136842105263158,0.6021052631578947,-0.011578947368421133,-11.000000000000076,iclv2_ensmble8
GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8222784810126582,0.8278481012658228,0.005569620253164542,10.999999999999972,tabpfnv3_results
HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8006263048016702,0.8034968684759917,0.00287056367432148,10.999999999999911,tabpfnv3_results
IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8809523809523809,0.8707482993197279,-0.010204081632653073,-3.0000000000000036,iclv2_ensmble8
INNHotelsGroup,binclass,29020,5804,7255,17,2,0.90144727773949,0.9018607856650586,0.0004135079255686014,3.000000000000203,tabpfnv3_results
Indian_pines,multiclass,7315,1463,1829,220,8,0.9879715691634772,0.9704756697648989,-0.01749589939857832,-31.999999999999744,iclv2_ensmble8
JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9994982438534872,0.9994982438534872,0.0,0.0,tie
KDDCup09_upselling,binclass,4102,821,1026,49,2,0.8138401559454191,0.8128654970760234,-0.0009746588693957392,-1.0000000000000284,iclv2_ensmble8
MIC,binclass,1319,264,330,104,2,0.906060606060606,0.9030303030303032,-0.0030303030303028278,-0.9999999999999332,iclv2_ensmble8
MagicTelescope,binclass,15216,3044,3804,9,2,0.8948475289169295,0.898527865404837,0.003680336487907443,13.999999999999913,tabpfnv3_results
Marketing_Campaign,binclass,1792,359,448,27,2,0.8839285714285714,0.8995535714285714,0.015625,7.0,tabpfnv3_results
Mobile_Price_Classification,multiclass,1600,320,400,20,4,0.9675,0.9675,0.0,0.0,tie
National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8333333333333334,0.8355263157894737,0.002192982456140302,0.9999999999999778,tabpfnv3_results
PhishingWebsites,binclass,8844,1769,2211,30,2,0.9796472184531886,0.9796472184531886,0.0,0.0,tie
PieChart3,binclass,861,173,216,37,2,0.8842592592592593,0.8611111111111112,-0.02314814814814814,-4.999999999999998,iclv2_ensmble8
Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7272727272727273,0.7467532467532467,0.01948051948051943,2.9999999999999925,tabpfnv3_results
PizzaCutter3,binclass,834,167,209,37,2,0.8851674641148325,0.8851674641148325,0.0,0.0,tie
Pumpkin_Seeds,binclass,2000,400,500,12,2,0.88,0.886,0.006000000000000005,3.0000000000000027,tabpfnv3_results
QSAR_biodegradation,binclass,843,169,211,41,2,0.8909952606635071,0.8767772511848341,-0.014218009478673022,-3.0000000000000075,iclv2_ensmble8
Rain_in_Australia,multiclass,116368,23274,29092,18,3,0.8577615839406022,0.8615083184380585,0.0037467344974563277,108.99999999999949,tabpfnv3_results
SDSS17,multiclass,80000,16000,20000,12,3,0.9776,0.97745,-0.00014999999999998348,-2.9999999999996696,iclv2_ensmble8
Satellite,binclass,4080,816,1020,36,2,0.9931372549019608,0.9931372549019608,0.0,0.0,tie
Telecom_Churn_Dataset,binclass,2666,534,667,17,2,0.967016491754123,0.967016491754123,0.0,0.0,tie
UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5347985347985348,0.6227106227106227,0.08791208791208793,24.000000000000007,tabpfnv3_results
Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6524390243902439,0.6570121951219512,0.004573170731707266,2.9999999999999662,tabpfnv3_results
Wilt,binclass,3856,772,965,5,2,0.9927461139896372,0.9937823834196892,0.0010362694300519726,1.0000000000001537,tabpfnv3_results
abalone,multiclass,3341,669,836,8,3,0.6411483253588517,0.6423444976076556,0.0011961722488038617,1.0000000000000284,tabpfnv3_results
accelerometer,multiclass,122403,24481,30601,4,4,0.7424920754223718,0.7481781641122839,0.00568608868991205,173.99999999999864,tabpfnv3_results
ada,binclass,3317,664,830,48,2,0.8578313253012049,0.8602409638554217,0.002409638554216831,1.9999999999999696,tabpfnv3_results
ada_agnostic,binclass,3649,730,913,48,2,0.8510405257393209,0.8400876232201533,-0.010952902519167584,-10.000000000000005,iclv2_ensmble8
ada_prior,binclass,3649,730,913,14,2,0.8554216867469879,0.8532311062431545,-0.0021905805038334725,-1.9999999999999605,iclv2_ensmble8
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,binclass,1600,320,400,7,2,0.5975,0.6225,0.025000000000000022,10.000000000000009,tabpfnv3_results
allbp,multiclass,3017,604,755,29,3,0.9774834437086092,0.9774834437086092,0.0,0.0,tie
