dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data178/PizzaCutter3,binclass,834,167,209,37,2,0.8708133971291866,0.8343952016712312,0.5291304347826087,0.8821739130434783,0.2571710212460187,29.55905175209045,0.5583853721618652,ok,,834,667,0,209,,30,5e-06,True,29.55864405632019,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.8815165876777251,0.8803938097917156,0.8586519114688129,0.9370221327967808,0.3126431381538871,30.413362741470337,0.5621676445007324,ok,,843,674,0,211,,30,5e-06,True,30.41293954849243,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
SDSS17,/home/crc00006699/zh/tabiclv2/data178/SDSS17,multiclass,80000,16000,20000,12,3,0.97595,0.9758418029714456,0.9716393802421672,0.996653426623898,0.0767903835684174,855.5351464748383,25.453989028930664,ok,,80000,64000,0,20000,,960,5e-06,True,855.5347101688385,tabpfn_finetune_epoch_chunks,dataset_val_split,30,32,tabpfn_finetuning_api,,,0,False,False,
Telecom_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Telecom_Churn_Dataset,binclass,2666,534,667,17,2,0.9685157421289357,0.9677199400043608,0.9131398082835956,0.9218846084282872,0.1256473859293615,34.71465754508972,0.6895511150360107,ok,,2666,2132,0,667,,60,5e-06,True,34.7141809463501,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6570121951219512,0.6059437136159648,0.5823437499999999,0.6708300781250001,0.6231627071395401,32.7193021774292,0.6029300689697266,ok,,2620,2096,0,656,,60,5e-06,True,32.71889686584473,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
abalone,/home/crc00006699/zh/tabiclv2/data178/abalone,multiclass,3341,669,836,8,3,0.6399521531100478,0.6444125462841612,0.6386016419038182,0.8302789373181487,0.7483449179578249,24.619280338287357,0.6012780666351318,ok,,3341,2672,0,836,,60,5e-06,True,24.618892192840576,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
ada,/home/crc00006699/zh/tabiclv2/data178/ada,binclass,3317,664,830,48,2,0.863855421686747,0.8593927124588376,0.7891383495145632,0.9157953696788648,0.3139005631148037,30.48138737678528,1.1271333694458008,ok,,3317,2653,0,830,,60,5e-06,True,30.48106694221497,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
ada_prior,/home/crc00006699/zh/tabiclv2/data178/ada_prior,binclass,3649,730,913,14,2,0.8543263964950711,0.8425697029991228,0.7453667432989559,0.8903687340260207,0.3470883057129031,24.71935248374939,0.6831569671630859,ok,,3649,2919,0,913,,60,5e-06,True,24.719022035598755,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
allbp,/home/crc00006699/zh/tabiclv2/data178/allbp,multiclass,3017,604,755,29,3,0.9788079470198676,0.975389238731662,0.54352108341028,0.9880270058827288,0.0620322531721188,94.3934290409088,0.7928566932678223,ok,,3017,2413,0,755,,60,5e-06,True,94.39310598373412,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
analcatdata_authorship,/home/crc00006699/zh/tabiclv2/data178/analcatdata_authorship,multiclass,672,135,169,69,4,0.9940828402366864,0.9940804879569156,0.9957627118644068,0.9999242768178148,0.0151565570119622,23.098652362823486,0.514580488204956,ok,,672,537,0,169,,30,5e-06,True,23.098289489746094,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data178/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.732,0.701816700610998,0.5298813782715119,0.7710143128560731,0.6758431415765221,127.68705081939696,1.9238688945770264,ok,,2000,1600,0,500,,30,5e-06,True,127.686696767807,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
bank,/home/crc00006699/zh/tabiclv2/data178/bank,binclass,36168,7234,9043,16,2,0.9118655313502156,0.9088059916411902,0.7549470711269832,0.9437323999512316,0.1839451389437349,330.2626564502716,9.750983953475952,ok,,36168,28934,0,9043,,450,5e-06,True,330.26222825050354,tabpfn_finetune_epoch_chunks,dataset_val_split,30,15,tabpfn_finetuning_api,,,0,False,False,
baseball,/home/crc00006699/zh/tabiclv2/data178/baseball,multiclass,1072,215,268,16,3,0.9365671641791044,0.9235174328757018,0.5497835497835498,0.967813344073998,0.157450918163585,35.038250207901,0.5321238040924072,ok,,1072,857,0,268,,30,5e-06,True,35.037861347198486,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
churn,/home/crc00006699/zh/tabiclv2/data178/churn,binclass,4000,800,1000,20,2,0.97,0.968920424403183,0.9054731297319164,0.9473080193858932,0.1144555299885823,65.34068822860718,0.8946545124053955,ok,,4000,3200,0,1000,,60,5e-06,True,65.34030723571777,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
company_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data178/company_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.9706744868035192,0.964668586501464,0.6223484848484848,0.9616735537190084,0.0723631351392026,123.75514435768127,2.445572853088379,ok,,5455,4364,0,1364,,90,5e-06,True,123.75467658042908,tabpfn_finetune_epoch_chunks,dataset_val_split,30,3,tabpfn_finetuning_api,,,0,False,False,
contraceptive_method_choice,/home/crc00006699/zh/tabiclv2/data178/contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6033898305084746,0.602661229880194,0.5821731677745725,0.7787133939218426,0.8484507431717968,22.907986640930176,0.4533789157867431,ok,,1178,942,0,295,,30,5e-06,True,22.90760707855225,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
customer_satisfaction_in_airline,/home/crc00006699/zh/tabiclv2/data178/customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.961194949183862,0.9612527378016296,0.9627336726836112,0.9951780411769386,0.0857003763610541,978.2050883769988,31.41644096374512,ok,,103904,83123,0,25976,,1260,5e-06,True,978.2046704292296,tabpfn_finetune_epoch_chunks,dataset_val_split,30,42,tabpfn_finetuning_api,,,0,False,False,
default_of_credit_card_clients,/home/crc00006699/zh/tabiclv2/data178/default_of_credit_card_clients,binclass,24000,4800,6000,23,2,0.8258333333333333,0.8058806173682295,0.6669579335569613,0.8000014029834525,0.4150473131219719,284.8341190814972,5.483653783798218,ok,,24000,19200,0,6000,,300,5e-06,True,284.833379983902,tabpfn_finetune_epoch_chunks,dataset_val_split,30,10,tabpfn_finetuning_api,,,0,False,False,
dis,/home/crc00006699/zh/tabiclv2/data178/dis,binclass,3017,604,755,29,2,0.9933774834437086,0.9929111179872836,0.8326603858232391,0.9977568416330193,0.0211498107018816,59.7225456237793,0.888202428817749,ok,,3017,2413,0,755,,60,5e-06,True,59.72220039367676,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,
drug_consumption,/home/crc00006699/zh/tabiclv2/data178/drug_consumption,multiclass,1507,302,377,12,7,0.403183023872679,0.2316968605998004,0.1428571428571428,0.4909768491901888,1.5196107591806474,47.03780913352966,0.499016523361206,ok,,1507,1205,0,377,,30,5e-06,True,47.03739070892334,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
eeg-eye-state,/home/crc00006699/zh/tabiclv2/data178/eeg-eye-state,binclass,11984,2397,2996,14,2,0.9939919893190922,0.9939915726012408,0.9938597538047236,0.9997716828147412,0.0176477106834324,92.0763099193573,1.9152007102966309,ok,,11984,9587,0,2996,,150,5e-06,True,92.07598638534546,tabpfn_finetune_epoch_chunks,dataset_val_split,30,5,tabpfn_finetuning_api,,,0,False,False,
estimation_of_obesity_levels,/home/crc00006699/zh/tabiclv2/data178/estimation_of_obesity_levels,multiclass,1688,338,423,16,7,0.9929078014184396,0.9929066416706416,0.9926929392446634,0.999919989620334,0.0277769116149859,22.82572221755981,0.4643275737762451,ok,,1688,1350,0,423,,30,5e-06,True,22.825398206710812,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
eye_movements_bin,/home/crc00006699/zh/tabiclv2/data178/eye_movements_bin,binclass,6086,1218,1522,20,2,0.7982917214191853,0.7982916343439602,0.7982917214191853,0.8900264366168729,0.4226556043906542,164.80863189697266,1.058464288711548,ok,,6086,4868,0,1522,,90,5e-06,True,164.80832266807556,tabpfn_finetune_epoch_chunks,dataset_val_split,30,3,tabpfn_finetuning_api,,,0,False,False,
gas-drift,/home/crc00006699/zh/tabiclv2/data178/gas-drift,multiclass,11128,2226,2782,128,6,0.9964054636951832,0.9964056621952811,0.9960649503524412,0.9999578078856298,0.0152086232377708,181.51679849624637,5.343055963516235,ok,,11128,8902,0,2782,,150,5e-06,True,181.51645231246948,tabpfn_finetune_epoch_chunks,dataset_val_split,30,5,tabpfn_finetuning_api,,,0,False,False,
golf_play_dataset_extended,/home/crc00006699/zh/tabiclv2/data178/golf_play_dataset_extended,binclass,876,176,219,9,2,0.9315068493150684,0.932288787386414,0.9087710480020106,0.9752450364413168,0.1765117256500662,21.94335007667541,0.4612066745758056,ok,,876,700,0,219,,30,5e-06,True,21.94295907020569,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
hill-valley,/home/crc00006699/zh/tabiclv2/data178/hill-valley,binclass,969,194,243,100,2,0.9588477366255144,0.9587974896616872,0.9587115566996344,0.997696789052974,0.3069603085473822,29.839919567108154,0.4792389869689941,ok,,969,775,0,243,,30,5e-06,True,29.83960461616516,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,
htru,/home/crc00006699/zh/tabiclv2/data178/htru,binclass,14318,2864,3580,8,2,0.9801675977653632,0.979929637628743,0.9287755377553776,0.9877664401644016,0.0628001988377811,287.88906240463257,2.133124351501465,ok,,14318,11454,0,3580,,180,5e-06,True,287.8886892795563,tabpfn_finetune_epoch_chunks,dataset_val_split,30,6,tabpfn_finetuning_api,,,0,False,False,
in_vehicle_coupon_recommendation,/home/crc00006699/zh/tabiclv2/data178/in_vehicle_coupon_recommendation,binclass,10147,2030,2537,21,2,0.7729601891998423,0.7708264739587214,0.7618192642131996,0.8496795419856997,0.4731529843126328,197.7445330619812,1.7851002216339111,ok,,10147,8117,0,2537,,150,5e-06,True,197.7441997528076,tabpfn_finetune_epoch_chunks,dataset_val_split,30,5,tabpfn_finetuning_api,,,0,False,False,
internet_usage,/home/crc00006699/zh/tabiclv2/data178/internet_usage,multiclass,8086,1618,2022,70,46,0.5464886251236399,0.4623145555587305,0.1758701015417923,0.944217724668698,1.3602311359044963,0.0243251323699951,49.60296559333801,ok,,8086,0,0,2022,,0,5e-06,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,
jungle_chess_2pcs_raw_endgame_complete,/home/crc00006699/zh/tabiclv2/data178/jungle_chess_2pcs_raw_endgame_complete,multiclass,35855,7171,8964,6,3,0.9886211512717537,0.9886355083596964,0.9840281853260552,0.9995709993713884,0.0465259216617225,482.6495041847229,8.504654169082642,ok,,35855,28684,0,8964,,450,5e-06,True,482.6491055488586,tabpfn_finetune_epoch_chunks,dataset_val_split,30,15,tabpfn_finetuning_api,,,0,False,False,
