dataset_name,task_type,n_train,n_val,n_test,n_features,n_classes,status_baseline,status_baseline_ttt,status_TTT,accuracy_baseline,accuracy_baseline_ttt,accuracy_TTT,delta_baseline_ttt_vs_baseline,delta_pp_baseline_ttt_vs_baseline,relative_delta_pct_baseline_ttt_vs_baseline,bucket_baseline_ttt_vs_baseline,delta_TTT_vs_baseline,delta_pp_TTT_vs_baseline,relative_delta_pct_TTT_vs_baseline,bucket_TTT_vs_baseline,delta_TTT_vs_baseline_ttt,delta_pp_TTT_vs_baseline_ttt,bucket_TTT_vs_baseline_ttt,fit_seconds_baseline,fit_seconds_baseline_ttt,fit_seconds_TTT,predict_seconds_baseline,predict_seconds_baseline_ttt,predict_seconds_TTT,ttt_applied_baseline_ttt,ttt_applied_TTT,ttt_steps_baseline_ttt,ttt_steps_TTT,ttt_lr_baseline_ttt,ttt_lr_TTT,ttt_loss_baseline_ttt,ttt_loss_TTT,ttt_update_seconds_baseline_ttt,ttt_update_seconds_TTT,ttt_split_strategy_baseline_ttt,ttt_split_strategy_TTT,ttt_split_reason_baseline_ttt,ttt_split_reason_TTT,error_type_baseline_ttt,error_first_line_baseline_ttt,error_type_TTT,error_first_line_TTT,dataset_dir
FOREX_audjpy-day-High,binclass,1465,293,367,10,2,ok,ok,ok,0.7656675749318801,0.7656675749318801,0.771117166212534,0.0,0.0,0.0,tie,0.00544959128065392,0.544959128065392,0.7117437722419889,improved,0.00544959128065392,0.544959128065392,improved,0.3412368297576904,0.4306361675262451,1.5294132232666016,0.3927514553070068,0.314741849899292,0.3937034606933594,True,True,1,1,2e-06,2e-06,0.6928068399429321,0.5287768095731735,0.4038319587707519,1.501420974731445,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High
FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,ok,ok,ok,0.7086138049058757,0.7087278950370793,0.7090701654306902,0.00011409013120367018,0.011409013120367018,0.016100466913543214,improved,0.0004563605248145697,0.04563605248145697,0.06440186765415719,improved,0.0003422703936108995,0.03422703936108995,improved,0.5928945541381836,10.924689054489136,122.53930282592772,23.28204655647278,23.275185346603397,23.83016538619995,True,True,1,1,2e-06,2e-06,0.6916711330413818,0.5827425122261047,10.647238492965698,122.2566578388214,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High
FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,ok,ok,ok,0.6838562464346833,0.6861380490587564,0.6888762122076441,0.0022818026240730704,0.22818026240730704,0.33366700033367475,improved,0.0050199657729607106,0.5019965772960711,0.734067400734078,improved,0.00273816314888764,0.273816314888764,improved,0.641925573348999,11.069381475448608,123.0545301437378,23.277124166488647,23.240211009979248,23.70471167564392,True,True,1,1,2e-06,2e-06,0.6306459903717041,0.6053925106922785,10.727553129196169,122.70329976081848,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High
FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,ok,ok,ok,0.6816885339418141,0.6827153451226469,0.6856816885339418,0.0010268111808328095,0.10268111808328095,0.1506276150627544,improved,0.00399315459212779,0.399315459212779,0.5857740585774072,improved,0.0029663434112949805,0.29663434112949805,improved,0.6303493976593018,11.052427530288696,122.87543940544128,23.28602504730225,23.229971408844,23.580187797546387,True,True,1,1,2e-06,2e-06,0.613400936126709,0.6061028440793356,10.721969842910768,122.53793621063232,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High
FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,ok,ok,ok,0.7166212534059946,0.7166212534059946,0.7166212534059946,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie,0.0,0.0,tie,0.3731980323791504,0.4331238269805908,1.5646412372589111,0.4634444713592529,0.3853404521942138,0.4223086833953857,True,True,1,1,2e-06,2e-06,0.6926785707473755,0.5699061453342438,0.4047849178314209,1.5349130630493164,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High
FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,ok,ok,ok,0.7007415858528238,0.7002852253280091,0.7018824871648602,-0.0004563605248146807,-0.04563605248146807,-0.06512536633019661,regressed,0.0011409013120364797,0.11409013120364797,0.16281341582545986,improved,0.0015972618368511604,0.15972618368511604,improved,0.6164278984069824,10.947083711624146,122.61021995544434,23.52389430999756,23.31089949607849,23.68723225593567,True,True,1,1,2e-06,2e-06,0.6907697319984436,0.5956227531035742,10.65827703475952,122.31589269638062,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High
Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,ok,ok,ok,0.8782407407407408,0.8777777777777778,0.8777777777777778,-0.0004629629629629983,-0.04629629629629983,-0.052714812862418366,regressed,-0.0004629629629629983,-0.04629629629629983,-0.052714812862418366,regressed,0.0,0.0,tie,0.4750707149505615,1.4358432292938232,10.282121658325195,3.1152985095977783,2.8766911029815674,3.087115526199341,True,True,1,1,2e-06,2e-06,0.3677316009998321,0.3533362001180649,1.2717599868774414,10.116397857666016,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification
Fitness_Club_c,binclass,1200,240,300,6,2,ok,ok,ok,0.7866666666666666,0.7866666666666666,0.79,0.0,0.0,0.0,tie,0.0033333333333334103,0.33333333333334103,0.42372881355933184,improved,0.0033333333333334103,0.33333333333334103,improved,0.3396594524383545,0.4220008850097656,1.2749862670898438,0.2608733177185058,0.2183144092559814,0.2687876224517822,True,True,1,1,2e-06,2e-06,0.5322405099868774,0.5270961448550224,0.3969299793243408,1.248347520828247,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,ok,ok,ok,0.66875,0.66875,0.66875,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie,0.0,0.0,tie,0.3958191871643066,0.5024304389953613,1.4960970878601074,0.5084073543548584,0.3647506237030029,0.4387333393096924,True,True,1,1,2e-06,2e-06,0.6546735763549805,0.6553142865498861,0.4438672065734863,1.436946153640747,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,ok,ok,ok,0.68125,0.68125,0.68125,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie,0.0,0.0,tie,0.3661291599273681,0.4901328086853027,1.5194013118743896,0.4600286483764648,0.3604586124420166,0.4168550968170166,True,True,1,1,2e-06,2e-06,0.5347962975502014,0.5138663798570633,0.4334111213684082,1.4625864028930664,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001
Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,ok,ok,ok,0.6052631578947368,0.6063157894736843,0.6063157894736843,0.001052631578947416,0.10526315789474161,0.17391304347826875,improved,0.001052631578947416,0.10526315789474161,0.17391304347826875,improved,0.0,0.0,tie,0.3567304611206054,0.62619948387146,3.3127169609069824,1.0894227027893066,0.98824143409729,1.140084743499756,True,True,1,1,2e-06,2e-06,0.8429332971572876,0.8147278080383936,0.5776033401489258,3.263061761856079,stratified,stratified,stratified split,stratified split,,,,,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP
