dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.773841961852861,0.7731838045481415,0.7724124606147078,0.8518518518518517,0.4794142945502971,0.7338969707489014,0.4867517948150635,ok,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7005134055904164,0.69951660075165,0.702448303075176,0.768914475055572,0.5774531634811079,0.6098754405975342,12.582118034362791,ok,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7356948228882834,0.7353883707151857,0.7357893799002138,0.7915775718698027,0.5547467864516467,0.741351842880249,0.4769339561462402,ok,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8837962962962963,0.8819237739970741,0.8085371811799024,0.973213808374568,0.3019769126299133,0.7797296047210693,1.864473819732666,ok,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.6732719396504724,0.6781250000000001,0.7366796875,0.5880500909116693,0.6763186454772949,0.5004663467407227,ok,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6021052631578947,0.5543913727638692,0.4204621400136057,0.6988720599484267,0.7977652880447951,0.626859188079834,0.7824795246124268,ok,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8034968684759917,0.8062098585249203,0.752311981467024,0.8108460856731581,0.4297638037933818,0.9650382995605468,3.6299452781677246,ok,
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data178/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9018607856650586,0.9011744080275164,0.8820465897128471,0.9635678498139628,0.2200890576979379,0.9675517082214355,10.171873092651367,ok,
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9994982438534872,0.999498083906782,0.9993540051679586,1.0,0.0010800111030294,0.6551306247711182,1.6699779033660889,ok,
MIC,/home/crc00006699/zh/tabiclv2/data178/MIC,binclass,1319,264,330,104,2,0.9030303030303032,0.89153605015674,0.7263335441703563,0.8855154965211891,0.2626932184419975,0.8815488815307617,0.7535014152526855,ok,
Marketing_Campaign,/home/crc00006699/zh/tabiclv2/data178/Marketing_Campaign,binclass,1792,359,448,27,2,0.8995535714285714,0.8933521949808856,0.750284013005837,0.9335605437380028,0.2257363253083464,0.6626965999603271,0.8066554069519043,ok,
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8355263157894737,0.7913318971559885,0.541739690260739,0.7716656532780143,0.3808431662361319,0.5214183330535889,0.6320798397064209,ok,
PieChart3,/home/crc00006699/zh/tabiclv2/data178/PieChart3,binclass,861,173,216,37,2,0.8611111111111112,0.8097014925373135,0.492063492063492,0.8669410150891632,0.2757128158157924,0.732785701751709,0.4979252815246582,ok,
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data178/PizzaCutter3,binclass,834,167,209,37,2,0.8851674641148325,0.8498495535934495,0.5545652173913043,0.9047826086956522,0.2425148333579596,0.5236339569091797,0.4817936420440674,ok,
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.8767772511848341,0.8736220216840875,0.8411971830985916,0.9463782696177064,0.284385452299736,0.5414378643035889,0.5353784561157227,ok,
SDSS17,/home/crc00006699/zh/tabiclv2/data178/SDSS17,multiclass,80000,16000,20000,12,3,0.97745,0.977353058658226,0.9727950448383278,0.9969486590650868,0.0702613894828378,1.260380744934082,54.298205614089966,ok,
Telecom_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Telecom_Churn_Dataset,binclass,2666,534,667,17,2,0.967016491754123,0.9664220941119864,0.916540061493941,0.9224633749321758,0.122983025164683,1.08469820022583,0.734790563583374,ok,
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6570121951219512,0.6047888947928316,0.581640625,0.6735546875,0.6215042419644862,0.6429710388183594,0.7014265060424805,ok,
abalone,/home/crc00006699/zh/tabiclv2/data178/abalone,multiclass,3341,669,836,8,3,0.6423444976076556,0.6456383330126182,0.6401762457252539,0.8328166744803882,0.7400480054193321,0.642409086227417,0.697843074798584,ok,
ada,/home/crc00006699/zh/tabiclv2/data178/ada,binclass,3317,664,830,48,2,0.8602409638554217,0.8555096105240209,0.7834826985312422,0.9165655339805824,0.3081865165492102,0.9005742073059082,1.2849500179290771,ok,
ada_prior,/home/crc00006699/zh/tabiclv2/data178/ada_prior,binclass,3649,730,913,14,2,0.8532311062431545,0.845130577091515,0.7593756823056472,0.8954161903905677,0.3384187805846442,0.647803544998169,0.8713533878326416,ok,
allbp,/home/crc00006699/zh/tabiclv2/data178/allbp,multiclass,3017,604,755,29,3,0.9774834437086092,0.9741554146906778,0.5430594028931979,0.9858948890317276,0.0644260194511045,0.7233834266662598,0.973170042037964,ok,
analcatdata_authorship,/home/crc00006699/zh/tabiclv2/data178/analcatdata_authorship,multiclass,672,135,169,69,4,0.9881656804733728,0.9881656804733728,0.9918564618644068,0.9999242768178148,0.0091333246815618,0.5699319839477539,0.5256297588348389,ok,
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data178/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.722,0.6924099631795538,0.5225067470030754,0.7658104943623805,0.6844671382734406,1.0006616115570068,1.918205738067627,ok,
bank,/home/crc00006699/zh/tabiclv2/data178/bank,binclass,36168,7234,9043,16,2,0.9116443658078072,0.90946245325996,0.7630212840001278,0.945098027610844,0.182463170222626,1.1790626049041748,14.10161280632019,ok,
baseball,/home/crc00006699/zh/tabiclv2/data178/baseball,multiclass,1072,215,268,16,3,0.9440298507462688,0.9350137571046004,0.6038961038961039,0.9749021571692588,0.1364398981093045,0.6753394603729248,0.4835524559020996,ok,
churn,/home/crc00006699/zh/tabiclv2/data178/churn,binclass,4000,800,1000,20,2,0.969,0.9680497733297432,0.9078550846687968,0.9434770762638396,0.1113468524941747,0.8082799911499023,0.9736623764038086,ok,
company_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data178/company_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.9714076246334312,0.967039552211666,0.6556818181818181,0.9646694214876032,0.0702616962702631,0.782869815826416,2.8751449584960938,ok,
contraceptive_method_choice,/home/crc00006699/zh/tabiclv2/data178/contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6237288135593221,0.6228917606751242,0.5964992962359074,0.795110269819967,0.8235676170810268,0.6452090740203857,0.5114307403564453,ok,
customer_satisfaction_in_airline,/home/crc00006699/zh/tabiclv2/data178/customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.9648906683092086,0.9649330765625675,0.9660143434319108,0.9959753125690451,0.0777800008316469,2.5092947483062744,93.94621753692628,ok,
default_of_credit_card_clients,/home/crc00006699/zh/tabiclv2/data178/default_of_credit_card_clients,binclass,24000,4800,6000,23,2,0.8265,0.8059728487239031,0.6660369636148337,0.8016277349509464,0.4141213673848365,0.8919761180877686,7.848999261856079,ok,
dis,/home/crc00006699/zh/tabiclv2/data178/dis,binclass,3017,604,755,29,2,0.9894039735099338,0.9876592747782136,0.7076603858232391,0.9945042620008973,0.026967816245709,0.6332056522369385,0.9053325653076172,ok,
drug_consumption,/home/crc00006699/zh/tabiclv2/data178/drug_consumption,multiclass,1507,302,377,12,7,0.403183023872679,0.2316968605998004,0.1428571428571428,0.5295789854311167,1.508819754856953,0.6269075870513916,0.492079496383667,ok,
eeg-eye-state,/home/crc00006699/zh/tabiclv2/data178/eeg-eye-state,binclass,11984,2397,2996,14,2,0.9939919893190922,0.9939915726012408,0.9938597538047236,0.9999117353682234,0.0126073785538265,0.6564462184906006,2.6744301319122314,ok,
estimation_of_obesity_levels,/home/crc00006699/zh/tabiclv2/data178/estimation_of_obesity_levels,multiclass,1688,338,423,16,7,0.9929078014184396,0.9929060758789716,0.9926929392446632,0.9999527633443552,0.0253649559501606,0.6565766334533691,0.7268967628479004,ok,
eye_movements_bin,/home/crc00006699/zh/tabiclv2/data178/eye_movements_bin,binclass,6086,1218,1522,20,2,0.6662286465177398,0.6656374276289273,0.6662286465177398,0.7359221993331273,0.5974813869318522,0.8018002510070801,1.38275408744812,ok,
gas-drift,/home/crc00006699/zh/tabiclv2/data178/gas-drift,multiclass,11128,2226,2782,128,6,0.9964054636951832,0.9964049249063714,0.9962562395008258,0.9999619039724998,0.0134961125097571,0.895876407623291,6.418629884719849,ok,
golf_play_dataset_extended,/home/crc00006699/zh/tabiclv2/data178/golf_play_dataset_extended,binclass,876,176,219,9,2,0.9406392694063926,0.9408723830749228,0.9145513948228198,0.981276702689118,0.1448183993449505,0.6641206741333008,0.4833340644836426,ok,
hill-valley,/home/crc00006699/zh/tabiclv2/data178/hill-valley,binclass,969,194,243,100,2,0.9423868312757202,0.9422341876901056,0.9421826310797996,0.9990516190218128,0.3018602720551643,0.5451211929321289,0.5436129570007324,ok,
htru,/home/crc00006699/zh/tabiclv2/data178/htru,binclass,14318,2864,3580,8,2,0.979608938547486,0.9795667990043684,0.9366918669186692,0.987409249092491,0.0631265934301215,0.5363852977752686,3.0194833278656006,ok,
in_vehicle_coupon_recommendation,/home/crc00006699/zh/tabiclv2/data178/in_vehicle_coupon_recommendation,binclass,10147,2030,2537,21,2,0.780449349625542,0.7784073117522701,0.7695061400008867,0.8563686280470427,0.4626202332822232,0.7411785125732422,2.3217172622680664,ok,
internet_usage,/home/crc00006699/zh/tabiclv2/data178/internet_usage,multiclass,8086,1618,2022,70,46,0.5464886251236399,0.4623145555587305,0.1758701015417923,0.944217724668698,1.3602311359044963,0.0250883102416992,49.85082626342773,ok,
jungle_chess_2pcs_raw_endgame_complete,/home/crc00006699/zh/tabiclv2/data178/jungle_chess_2pcs_raw_endgame_complete,multiclass,35855,7171,8964,6,3,0.9601740294511378,0.9600929858181042,0.945605036556938,0.9972861426204732,0.1094445958788701,0.5670619010925293,12.696545600891112,ok,
kdd_ipums_la_97-small,/home/crc00006699/zh/tabiclv2/data178/kdd_ipums_la_97-small,binclass,4150,830,1038,20,2,0.8911368015414258,0.8906250728504117,0.8911368015414258,0.948719376598691,0.2620318195467249,0.8262641429901123,0.9825112819671632,ok,
kropt,/home/crc00006699/zh/tabiclv2/data178/kropt,multiclass,22444,4489,5612,6,18,0.9242694226657164,0.9242321964760072,0.9047505964279752,0.9982173443113124,0.2391162830136975,0.0304677486419677,90.8262391090393,ok,
led7,/home/crc00006699/zh/tabiclv2/data178/led7,multiclass,2560,512,640,7,10,0.740625,0.7340405712446606,0.7387037180770313,0.9595226044004244,0.776993937894978,0.5564887523651123,0.6469027996063232,ok,
madeline,/home/crc00006699/zh/tabiclv2/data178/madeline,binclass,2512,503,628,259,2,0.931528662420382,0.9315250160332008,0.9314954560207724,0.9761441090555016,0.1952274396616047,0.90986967086792,4.571496486663818,ok,
maternal_health_risk,/home/crc00006699/zh/tabiclv2/data178/maternal_health_risk,multiclass,811,163,203,6,3,0.8669950738916257,0.8652812526611048,0.8692943810688419,0.9663322134272988,0.3204857732236801,0.6286129951477051,0.5388033390045166,ok,
mfeat-fourier,/home/crc00006699/zh/tabiclv2/data178/mfeat-fourier,multiclass,1600,320,400,76,10,0.9225,0.9221122182118064,0.9225,0.9948680555555556,0.2148861153093662,0.8096771240234375,0.5928754806518555,ok,
mfeat-morphological,/home/crc00006699/zh/tabiclv2/data178/mfeat-morphological,multiclass,1600,320,400,6,10,0.7675,0.7611634892155331,0.7675,0.97225,0.496599375949782,0.5279262065887451,0.5124402046203613,ok,
mfeat-zernike,/home/crc00006699/zh/tabiclv2/data178/mfeat-zernike,multiclass,1600,320,400,47,10,0.8375,0.8351894692254072,0.8375,0.9831875,0.2293256286810208,0.7046957015991211,0.5503973960876465,ok,
microaggregation2,/home/crc00006699/zh/tabiclv2/data178/microaggregation2,multiclass,16000,3200,4000,20,5,0.6425,0.5963832110708861,0.4279883658955928,0.8351120274023109,0.8591512618493298,0.5730085372924805,4.309187889099121,ok,
mozilla4,/home/crc00006699/zh/tabiclv2/data178/mozilla4,binclass,12436,2488,3109,4,2,0.9382438082984884,0.9377120328531924,0.9220446769068044,0.97652694857833,0.167145132925597,0.674466609954834,2.517259120941162,ok,
national-longitudinal-survey-binary,/home/crc00006699/zh/tabiclv2/data178/national-longitudinal-survey-binary,binclass,3926,786,982,16,2,1.0,1.0,1.0,1.0,0.0001356987627348,0.5701861381530762,0.909515142440796,ok,
one-hundred-plants-margin,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-margin,multiclass,1280,256,320,64,100,0.890625,0.8887475198412698,0.8908333333333335,0.9981593326145696,0.4123759657757702,0.0393948554992675,32.05259156227112,ok,
one-hundred-plants-texture,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-texture,multiclass,1279,256,320,64,100,0.921875,0.9192261904761904,0.9216666666666664,0.9988900923744491,0.3475759750658919,0.0300705432891845,27.53890299797058,ok,
optdigits,/home/crc00006699/zh/tabiclv2/data178/optdigits,multiclass,4496,900,1124,64,10,0.998220640569395,0.9982205883039564,0.9982142857142856,0.9999982283906084,0.0103786237140096,0.8442637920379639,1.850987434387207,ok,
page-blocks,/home/crc00006699/zh/tabiclv2/data178/page-blocks,multiclass,4378,876,1095,10,5,0.9799086757990868,0.9796501794474878,0.9029675319250268,0.9920835892345498,0.087900281713343,0.5278527736663818,0.9832158088684082,ok,
pc3,/home/crc00006699/zh/tabiclv2/data178/pc3,binclass,1250,250,313,37,2,0.8913738019169329,0.8610103697565126,0.5379782028469751,0.8405249110320284,0.2632758333845115,0.6461648941040039,0.4942338466644287,ok,
pendigits,/home/crc00006699/zh/tabiclv2/data178/pendigits,multiclass,8793,1759,2199,16,10,0.9968167348794906,0.996819604653752,0.9967942217347212,0.9997106283167064,0.0106484674926686,0.6402924060821533,1.8728933334350584,ok,
pol,/home/crc00006699/zh/tabiclv2/data178/pol,binclass,8065,1613,2017,26,2,0.9910758552305404,0.9910756578038038,0.9910783110733556,0.9997807431528938,0.0209589387967249,0.6564850807189941,1.9781575202941888,ok,
qsar,/home/crc00006699/zh/tabiclv2/data178/qsar,binclass,844,169,211,40,2,0.909952606635071,0.908716183528344,0.8870221327967807,0.9567404426559356,0.2574591093302297,0.5622215270996094,0.4991128444671631,ok,
ringnorm,/home/crc00006699/zh/tabiclv2/data178/ringnorm,binclass,5920,1184,1480,20,2,0.9817567567567568,0.9817496645776146,0.9816081059115954,0.9975965709130292,0.0600262967377051,0.6566274166107178,1.3931872844696045,ok,
satimage,/home/crc00006699/zh/tabiclv2/data178/satimage,multiclass,5144,1029,1286,36,6,0.9385692068429238,0.9370872227904558,0.9193900649454708,0.99621250255618,0.1440072358300166,0.6833724975585938,1.5759811401367188,ok,
seismic+bumps,/home/crc00006699/zh/tabiclv2/data178/seismic+bumps,binclass,2067,414,517,18,2,0.9342359767891684,0.9024719535783364,0.5,0.7139812446717817,0.230137936241613,0.7125349044799805,0.7698445320129395,ok,
shuttle,/home/crc00006699/zh/tabiclv2/data178/shuttle,multiclass,46400,9280,11600,9,7,0.999396551724138,0.999382135837301,0.9155871925267988,0.9999952402493848,0.001072608345408,0.7538840770721436,20.33540678024292,ok,
splice,/home/crc00006699/zh/tabiclv2/data178/splice,multiclass,2552,511,638,60,3,0.9592476489028212,0.9592476489028212,0.951697789799798,0.996874991879233,0.0945414129672171,0.7630746364593506,1.4101529121398926,ok,
statlog,/home/crc00006699/zh/tabiclv2/data178/statlog,binclass,800,160,200,20,2,0.735,0.7228087167070218,0.6488095238095238,0.7672619047619048,0.5140407571200865,0.6938626766204834,0.4978446960449219,ok,
sylvine,/home/crc00006699/zh/tabiclv2/data178/sylvine,binclass,4099,820,1025,20,2,0.982439024390244,0.9824388238110529,0.9824428149366472,0.9982486598440546,0.051536126398266,0.7260141372680664,1.038010597229004,ok,
telco-customer-churn,/home/crc00006699/zh/tabiclv2/data178/telco-customer-churn,binclass,5634,1127,1409,18,2,0.8041163946061036,0.7948010078500996,0.7104200573510037,0.851241313389651,0.41066976263188,0.6354751586914062,1.2679803371429443,ok,
thyroid,/home/crc00006699/zh/tabiclv2/data178/thyroid,multiclass,5760,1152,1440,21,3,0.99375,0.9936960582674976,0.9540912050289396,0.9997710735466784,0.0137468853630382,0.6352713108062744,1.3359527587890625,ok,
thyroid-dis,/home/crc00006699/zh/tabiclv2/data178/thyroid-dis,multiclass,2240,448,560,26,5,0.6964285714285714,0.676025589337698,0.40901386075698,0.8880637053416812,0.6981137724629664,0.6285300254821777,0.948737382888794,ok,
twonorm,/home/crc00006699/zh/tabiclv2/data178/twonorm,binclass,5920,1184,1480,20,2,0.9777027027027028,0.9777025500087502,0.9777072273689325,0.9985208154141992,0.0505746180628562,0.6504323482513428,1.3469102382659912,ok,
volkert,/home/crc00006699/zh/tabiclv2/data178/volkert,multiclass,46648,9330,11662,180,10,0.748499399759904,0.7436872693913014,0.691331313755943,0.9610783124380582,0.7352264630353331,2.1182191371917725,40.35072374343872,ok,
wall-robot-navigation,/home/crc00006699/zh/tabiclv2/data178/wall-robot-navigation,multiclass,4364,873,1092,24,4,0.9844322344322344,0.9844385402661296,0.9850752422180994,0.9997760779599658,0.0345742984866538,0.5991084575653076,1.1500167846679688,ok,
waveform-5000,/home/crc00006699/zh/tabiclv2/data178/waveform-5000,multiclass,4000,800,1000,40,3,0.871,0.8709480413434756,0.8711334370177038,0.9783501982322494,0.2577499475958717,0.5777590274810791,1.3746557235717771,ok,
waveform_database_generator_version_1,/home/crc00006699/zh/tabiclv2/data178/waveform_database_generator_version_1,multiclass,4000,800,1000,21,3,0.872,0.871398129680973,0.8718356673504322,0.9735765931494256,0.287673577108609,0.5563223361968994,0.9959721565246582,ok,
wine,/home/crc00006699/zh/tabiclv2/data178/wine,binclass,2043,409,511,4,2,0.786692759295499,0.7852074210292779,0.7868566176470588,0.8756433823529413,0.4547601000105623,0.7352278232574463,0.6026623249053955,ok,
wine-quality-white,/home/crc00006699/zh/tabiclv2/data178/wine-quality-white,multiclass,3918,784,980,11,7,0.6744897959183673,0.6668761482189028,0.396532811812635,0.9093686539512708,0.7575167013725385,0.9886658191680908,0.7889039516448975,ok,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9433933475740006,0.9301068881183704,0.5860897524916411,0.8351237541794408,0.1685398732352713,1.8286221027374268,9.24821949005127,ok,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9881889763779528,0.9881997477294914,0.9878375727246708,0.9992097618743874,0.03218541099591,0.8341000080108643,10.658424377441406,ok,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8157226314452629,0.8135631679198023,0.7862986431728798,0.8836584746304951,0.4047900127376176,0.8455734252929688,10.891419172286987,ok,
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.6977611940298507,0.6974705754942503,0.6785376801322939,0.7381289865343728,0.6196135343588107,0.5372099876403809,0.5565922260284424,ok,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7339285714285714,0.7335481555639667,0.7339070559696509,0.800795567606716,0.5428176063678546,0.953876256942749,28.14316201210022,ok,
Credit_c,/home/crc00006699/zh/tabiclv2/data178/Credit_c,multiclass,80000,16000,20000,22,3,0.8198,0.8196209068102378,0.836096850131454,0.9325024318345704,0.4164081092319479,1.6983144283294678,58.70005679130554,ok,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7489177489177489,0.7487568958024189,0.747289972899729,0.8327311050888286,0.497082056890597,0.8427858352661133,0.6543335914611816,ok,
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8625134264232008,0.8565492171460555,0.8163717266775777,0.8799969312602292,0.3484467668928112,0.5538499355316162,0.7280993461608887,ok,
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7411444141689373,0.740901904864998,0.7407621933107587,0.8316402304996139,0.5050213664997297,0.5274977684020996,0.5119457244873047,ok,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7574931880108992,0.75746798033842,0.7577080734271966,0.8376700528723341,0.4971519513190489,0.7344627380371094,0.4823353290557861,ok,
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7210496292070736,0.7210588155824698,0.7216651413147127,0.7968894597710962,0.5450362438039899,0.5766496658325195,12.620285749435425,ok,
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.689218482601255,0.6883429734519192,0.6934942566907742,0.7588373896479047,0.58304355829907,0.6274170875549316,12.517966032028198,ok,
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7108956075299486,0.710912428833357,0.7117421219911735,0.7831296612510161,0.561623854761214,0.7606477737426758,12.562477827072144,ok,
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.7966666666666666,0.7919126658337796,0.739287028760713,0.8234397181765603,0.4532609876445627,0.7039980888366699,0.5228323936462402,ok,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.678125,0.6777442094662638,0.6781250000000001,0.757265625,0.550760688859457,0.573183536529541,0.5564365386962891,ok,
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data178/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8278481012658228,0.8263483766913349,0.7999016364967685,0.9673230244533484,0.4912032285663368,0.8048715591430664,2.153061628341675,ok,
IBM_HR_Analytics_Employee_Attrition_and_Performance,/home/crc00006699/zh/tabiclv2/data178/IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1176,236,294,31,2,0.8707482993197279,0.8537568774279738,0.6646567318459816,0.8520113704884141,0.3143266660197262,0.8784472942352295,0.531080961227417,ok,
Indian_pines,/home/crc00006699/zh/tabiclv2/data178/Indian_pines,multiclass,7315,1463,1829,220,8,0.9721159103335156,0.9720849166045544,0.9874739858906524,0.99918115188251,0.0880009604283918,1.0417356491088867,7.050232410430908,ok,
KDDCup09_upselling,/home/crc00006699/zh/tabiclv2/data178/KDDCup09_upselling,binclass,4102,821,1026,49,2,0.8128654970760234,0.8117208078939019,0.8128654970760234,0.9127936801066996,0.3544383456513748,0.9463260173797609,1.5765893459320068,ok,
MagicTelescope,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope,binclass,15216,3044,3804,9,2,0.898527865404837,0.8972402378861712,0.8776344836866588,0.94901421666503,0.2563758747714479,0.7173547744750977,3.395770788192749,ok,
Mobile_Price_Classification,/home/crc00006699/zh/tabiclv2/data178/Mobile_Price_Classification,multiclass,1600,320,400,20,4,0.9675,0.9674796487907612,0.9675,0.999475,0.0598872569849832,0.661998987197876,0.5327701568603516,ok,
PhishingWebsites,/home/crc00006699/zh/tabiclv2/data178/PhishingWebsites,binclass,8844,1769,2211,30,2,0.9796472184531886,0.979630362587788,0.9786012699149522,0.9986550672259156,0.0474991610621031,1.132575750350952,2.377738237380981,ok,
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data178/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7467532467532467,0.7371540246262263,0.6942592592592592,0.875925925925926,0.4475877550794772,0.5176422595977783,0.4861469268798828,ok,
