dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,roc_auc,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
mfeat-zernike,/home/crc00006699/zh/tabiclv2/data178/mfeat-zernike,multiclass,1600,320,400,47,10,0.845,0.8407918821386248,0.9847708333333334,24.328237056732178,0.6094169616699219,ok,,1600,1280,0,400,,8,5e-06,True,24.327939987182617,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
mobile_c36_oversampling,/home/crc00006699/zh/tabiclv2/data178/mobile_c36_oversampling,binclass,41408,8282,10352,6,2,0.991499227202473,0.9914947532124438,0.9991278321056364,377.30738067626953,15.791826009750366,ok,,41408,33126,0,10352,,16,5e-06,True,377.3069128990173,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
national-longitudinal-survey-binary,/home/crc00006699/zh/tabiclv2/data178/national-longitudinal-survey-binary,binclass,3926,786,982,16,2,1.0,1.0,1.0,19.997100114822388,0.8276641368865967,ok,,3926,3140,0,982,,8,5e-06,True,19.99680876731873,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
one-hundred-plants-shape,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-shape,multiclass,1280,256,320,64,100,0.7875,0.7754216269841271,0.9932768554752492,0.0539362430572509,45.94071960449219,ok,,1280,0,0,320,,0,5e-06,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,
optdigits,/home/crc00006699/zh/tabiclv2/data178/optdigits,multiclass,4496,900,1124,64,10,0.98932384341637,0.9893571959793104,0.9999523681665192,55.03627443313599,2.397441864013672,ok,,4496,3596,0,1124,,8,5e-06,True,55.03599572181702,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
pc1,/home/crc00006699/zh/tabiclv2/data178/pc1,binclass,887,178,222,21,2,0.9414414414414416,0.9199428109746336,0.871658615136876,14.93161153793335,0.3415935039520263,ok,,887,709,0,222,,8,5e-06,True,14.93129587173462,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
pendigits,/home/crc00006699/zh/tabiclv2/data178/pendigits,multiclass,8793,1759,2199,16,10,0.9977262391996362,0.997728000634768,0.999639943647974,50.79041337966919,2.308245182037353,ok,,8793,7034,0,2199,,8,5e-06,True,50.79010677337647,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
predict_students_dropout_and_academic_success,/home/crc00006699/zh/tabiclv2/data178/predict_students_dropout_and_academic_success,multiclass,3539,708,885,34,3,0.7796610169491526,0.7718771132165337,0.8911147412696909,45.8546507358551,1.3379244804382324,ok,,3539,2831,0,885,,8,5e-06,True,45.85435938835144,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
ringnorm,/home/crc00006699/zh/tabiclv2/data178/ringnorm,binclass,5920,1184,1480,20,2,0.981081081081081,0.9810783854433192,0.9973883711288994,37.22496724128723,1.517291784286499,ok,,5920,4736,0,1480,,8,5e-06,True,37.22457218170166,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
segment,/home/crc00006699/zh/tabiclv2/data178/segment,multiclass,1848,370,462,17,7,0.9415584415584416,0.9418745799278556,0.9956545979273252,13.084953546524048,0.3921434879302978,ok,,1848,1478,0,462,,8,5e-06,True,13.08469581604004,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
shuttle,/home/crc00006699/zh/tabiclv2/data178/shuttle,multiclass,46400,9280,11600,9,7,0.9995689655172414,0.9995709767228834,0.999997033993842,354.8315980434418,23.428526401519772,ok,,46400,37120,0,11600,,16,5e-06,True,354.8312768936157,tabpfn_finetune_epoch_chunks,dataset_val_split,8,2,tabpfn_finetuning_api,,,0,False,False,
sports_articles_for_objectivity_analysis,/home/crc00006699/zh/tabiclv2/data178/sports_articles_for_objectivity_analysis,binclass,800,160,200,59,2,0.855,0.8527182148705282,0.8990400172581168,20.84439992904663,0.3932492733001709,ok,,800,640,0,200,,8,5e-06,True,20.84408664703369,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
sylvine,/home/crc00006699/zh/tabiclv2/data178/sylvine,binclass,4099,820,1025,20,2,0.9736585365853658,0.9736583861516886,0.9975919072855748,35.30643630027771,0.9606263637542723,ok,,4099,3279,0,1025,,8,5e-06,True,35.30618977546692,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
texture,/home/crc00006699/zh/tabiclv2/data178/texture,multiclass,4400,880,1100,40,11,1.0,1.0,1.0,0.0334954261779785,128.48224711418152,ok,,4400,0,0,1100,,0,5e-06,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,
thyroid-dis,/home/crc00006699/zh/tabiclv2/data178/thyroid-dis,multiclass,2240,448,560,26,5,0.6857142857142857,0.6643819519032679,0.8849375775097759,18.76160144805908,0.5914080142974854,ok,,2240,1792,0,560,,8,5e-06,True,18.761307954788208,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
vehicle,/home/crc00006699/zh/tabiclv2/data178/vehicle,multiclass,676,136,170,18,4,0.8823529411764706,0.8796836867650675,0.9719712232212232,12.26073670387268,0.3541040420532226,ok,,676,540,0,170,,8,5e-06,True,12.260398387908936,tabpfn_finetune_epoch_chunks,dataset_val_split,8,1,tabpfn_finetuning_api,,,0,False,False,
