dataset_name,direction,accuracy_base,accuracy_ttt,acc_delta_ttt_minus_base,meta_n_features,meta_n_num_features,meta_n_cat_features,meta_total_samples,meta_train_size,meta_val_size,meta_test_size,meta_task_type,meta_num_classes,n_features_base,n_features_ttt,n_classes_base,n_classes_ttt,ttt_applied,ttt_epochs,ttt_steps,f1,roc_auc
eeg-eye-state,down,0.9936582109479306,0.9923230974632844,-0.001335113484646211,14,14,0,14980,9587,2397,2996,binclass,,14,14,2,2,True,8,8,0.9923217530340877,0.9993501741650322
JapaneseVowels,down,0.9989964877069744,0.997491219267436,-0.0015052684395383542,14,14,0,9961,6374,1594,1993,multiclass,,14,14,9,9,True,8,8,0.9974875580178892,0.999998317798974
MagicTelescope,down,0.8901156677181914,0.8885383806519453,-0.001577287066246047,9,9,0,19020,12172,3044,3804,binclass,,9,9,2,2,True,8,8,0.8869750158127937,0.9442419900179058
kdd_ipums_la_97-small,down,0.8882466281310212,0.8863198458574181,-0.0019267822736031004,20,20,0,5188,3320,830,1038,binclass,,20,20,2,2,True,8,8,0.8859387397052086,0.9477559854618895
ozone-level-8hr,down,0.9526627218934912,0.95069033530572,-0.0019723865877712132,72,72,0,2534,1621,406,507,binclass,,72,72,2,2,True,8,8,0.943526173384398,0.9321710526315788
ada_agnostic,down,0.8444687842278203,0.8422782037239869,-0.0021905805038334725,48,48,0,4562,2919,730,913,binclass,2,48,48,2,2,True,8,8,0.8375026858193976,0.9002613631985205
okcupid_stem,down,0.7507496251874063,0.7483133433283359,-0.0024362818590704105,13,2,11,26677,17072,4269,5336,multiclass,,13,13,3,3,True,8,8,0.6904749533654578,0.808250156378902
mfeat-pixel,down,0.965,0.9625,-0.0024999999999999467,240,0,240,2000,1280,320,400,multiclass,,240,240,10,10,True,8,8,0.9626012984134944,0.9986111111111112
mfeat-karhunen,down,0.975,0.9725,-0.0024999999999999467,64,64,0,2000,1280,320,400,multiclass,,64,64,10,10,True,8,8,0.9724205873703866,0.998951388888889
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,down,0.625,0.6225,-0.0024999999999999467,7,3,4,2000,1280,320,400,binclass,,7,7,2,2,True,8,8,0.6071438707820418,0.6545703006377164
optdigits,down,0.9919928825622776,0.98932384341637,-0.002669039145907548,64,64,0,5620,3596,900,1124,multiclass,,64,64,10,10,True,8,8,0.9893571959793104,0.9999523681665192
FOREX_audjpy-hour-High,down,0.7242441528807758,0.7213918996006845,-0.0028522532800913103,10,10,0,43825,28048,7012,8765,binclass,,10,10,2,2,True,8,16,0.7213956599572665,0.8006449680009613
