dataset,layer,group,num_tensors,numel,mean_abs_delta,rel_l2,max_abs_delta,changed_fraction_gt_1e_12
BLE,block_10,ffn.linear1,2,525312,3.412647856748663e-05,0.0010568384083368277,5.079805850982666e-05,0.9999914169311523
BLE,block_10,ffn.linear2,2,524800,3.3709009585436434e-05,0.001341575913380625,5.079247057437897e-05,0.9999961853027344
BLE,block_10,norm1,2,1024,3.433573147049174e-05,0.0005757504537013204,5.066394805908203e-05,1.0
BLE,block_10,norm2,2,1024,3.455537080299109e-05,0.0009970948563665662,5.066394805908203e-05,1.0
BLE,block_11,attn.in_proj,2,787968,2.8654621019086335e-05,0.0008715735492317039,5.079875700175762e-05,0.9983654022216797
BLE,block_11,attn.out_proj,2,262656,3.278364420111757e-05,0.002026206919872168,5.076266825199127e-05,0.9999961853027344
BLE,block_11,ffn.linear1,2,525312,3.4710861655185e-05,0.0010861648244708808,5.0790607929229736e-05,0.9999904632568359
BLE,block_11,ffn.linear2,2,524800,3.425832255743444e-05,0.0024167408118890583,5.076313391327858e-05,0.9999961853027344
BLE,block_11,norm1,2,1024,3.419015047256835e-05,0.0007089308969116234,5.078315734863281e-05,1.0
BLE,block_11,norm2,2,1024,3.178906081302557e-05,0.0005502902209979133,5.066394805908203e-05,0.9990234375
BLE,decoder,decoder,4,535562,3.094005660386756e-05,0.001096645790542231,5.0807371735572815e-05,0.9995820969343185
BLE,ln,ln,2,1024,3.482732063275762e-05,0.0011221811555564237,5.072355270385742e-05,1.0
BLE,y_encoder,y_encoder,2,5632,2.1708156054955907e-05,0.00017363666988201115,5.079805850982666e-05,0.6500000059604645
BNG,block_00,attn.in_proj,2,787968,3.131475932605099e-05,0.0010680872076596574,5.0786882638931274e-05,0.9983692169189453
BNG,block_00,attn.out_proj,2,262656,3.6289766285335645e-05,0.0020585973339007965,5.078967660665512e-05,0.9999980926513672
BNG,block_00,ffn.linear1,2,525312,3.545180879882537e-05,0.0012452238273227738,5.076080560684204e-05,0.999995231628418
BNG,block_00,ffn.linear2,2,524800,3.5183313229936175e-05,0.00223685769383424,5.0786882638931274e-05,0.9999961853027344
BNG,block_00,norm1,2,1024,3.731455944944173e-05,0.00029209760043502495,5.073472857475281e-05,1.0
BNG,block_00,norm2,2,1024,3.429536991461646e-05,0.0004911208555927381,5.072355270385742e-05,1.0
BNG,block_01,attn.in_proj,2,787968,3.102868959103944e-05,0.0011208640684835655,5.077570676803589e-05,0.9980411529541016
BNG,block_01,attn.out_proj,2,262656,3.441684020799585e-05,0.0019326216277488189,5.073472857475281e-05,0.9999923706054688
BNG,block_01,ffn.linear1,2,525312,3.363368887221441e-05,0.0011698780134779185,5.074497312307358e-05,0.9995098114013672
BNG,block_01,ffn.linear2,2,524800,3.452296914474573e-05,0.0022619344035260153,5.0776638090610504e-05,0.9999971389770508
BNG,block_01,norm1,2,1024,3.4105105441994965e-05,0.000305386344851489,5.072355270385742e-05,0.9990234375
BNG,block_01,norm2,2,1024,3.301996002846863e-05,0.0006965656050383154,5.066394805908203e-05,1.0
BNG,block_02,attn.in_proj,2,787968,2.9668911338376347e-05,0.0010410797724823312,5.0768256187438965e-05,0.999344527721405
BNG,block_02,attn.out_proj,2,262656,3.4913819035864435e-05,0.002111869039034352,5.079247057437897e-05,0.9999942779541016
BNG,block_02,ffn.linear1,2,525312,3.7555517337750643e-05,0.001297865894194825,5.077570676803589e-05,0.9999961853027344
BNG,block_02,ffn.linear2,2,524800,3.5424085581325926e-05,0.0027181037580323053,5.077943205833435e-05,0.9999961853027344
BNG,block_02,norm1,2,1024,3.45811276929453e-05,0.00047206261831828685,5.072355270385742e-05,0.9990234375
BNG,block_02,norm2,2,1024,3.682632086565718e-05,0.0008612660840359442,5.066394805908203e-05,1.0
BNG,block_03,attn.in_proj,2,787968,2.7636437152978033e-05,0.000853769008075347,5.078315734863281e-05,0.993485152721405
BNG,block_03,attn.out_proj,2,262656,3.350084080011584e-05,0.001881852845508989,5.0786882638931274e-05,1.0
BNG,block_03,ffn.linear1,2,525312,3.4822522138711065e-05,0.0011067355338872692,5.075708031654358e-05,0.9999980926513672
BNG,block_03,ffn.linear2,2,524800,3.446887058089487e-05,0.0021701578965348644,5.0768256187438965e-05,0.9999961853027344
BNG,block_03,norm1,2,1024,3.399649358470924e-05,0.000659263125841419,5.072355270385742e-05,1.0
BNG,block_03,norm2,2,1024,3.223187923140358e-05,0.0007315081220630927,5.054473876953125e-05,1.0
BNG,block_04,attn.in_proj,2,787968,2.985246646858286e-05,0.0008047645153496367,5.0766393542289734e-05,0.9863192141056061
BNG,block_04,attn.out_proj,2,262656,3.455569822108373e-05,0.0014330614466300687,5.07584773004055e-05,0.9999980926513672
BNG,block_04,ffn.linear1,2,525312,3.089191886829212e-05,0.0010531865713414904,5.0785019993782043e-05,0.9999904632568359
BNG,block_04,ffn.linear2,2,524800,3.438853673287667e-05,0.0022172626546449943,5.079805850982666e-05,0.9999961853027344
BNG,block_04,norm1,2,1024,3.56702039425727e-05,0.0007168750472885747,5.066394805908203e-05,0.9990234375
BNG,block_04,norm2,2,1024,3.177489816152956e-05,0.0005704816288954945,5.054473876953125e-05,1.0
BNG,block_05,attn.in_proj,2,787968,2.976751966343727e-05,0.0007794180912331049,5.0790607929229736e-05,0.9931564331054688
BNG,block_05,attn.out_proj,2,262656,3.453639874351211e-05,0.0016538150150603244,5.079805850982666e-05,1.0
BNG,block_05,ffn.linear1,2,525312,3.512367038638331e-05,0.0010404341707656107,5.077943205833435e-05,0.9999933242797852
BNG,block_05,ffn.linear2,2,524800,3.464271503617056e-05,0.001981868046695425,5.078315734863281e-05,0.9999980926513672
BNG,block_05,norm1,2,1024,3.3446831366745755e-05,0.0007006478366561446,5.078315734863281e-05,0.9990234375
BNG,block_05,norm2,2,1024,3.271118112024851e-05,0.0005239620689524295,5.070492625236511e-05,0.9990234375
BNG,block_06,attn.in_proj,2,787968,2.9886542506574187e-05,0.000675303466730097,5.078315734863281e-05,0.9788341522216797
BNG,block_06,attn.out_proj,2,262656,3.342242234793957e-05,0.0012468699698761528,5.077943205833435e-05,0.9999942779541016
BNG,block_06,ffn.linear1,2,525312,3.2584299333393574e-05,0.0009991973247035655,5.077570676803589e-05,0.9999980926513672
BNG,block_06,ffn.linear2,2,524800,3.352636122144759e-05,0.0017928460784389295,5.07645308971405e-05,0.9999990463256836
