dataset_name,task_type,baseline_acc,n_classes,up_count,down_count,flat_count,first_up_step,last_up_step,best_step,best_acc,best_delta_pp,up_steps,first_down_step,last_down_step,worst_step,worst_acc,worst_delta_pp,down_steps,flat_steps,final_step,final_delta_pp,pattern,delta_pp_step1,delta_pp_step2,delta_pp_step3,delta_pp_step4,delta_pp_step5,delta_pp_step10,delta_pp_step20,delta_pp_step30,delta_pp_step40,delta_pp_step50
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,0.68125,2,0,1,9,,,1,0.68125,0.0,,50,50,50,0.678125,-0.31250000000000444,50,"1,2,3,4,5,10,20,30,40",50,-0.31250000000000444,nonpositive_decline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31250000000000444
Gender_Gap_in_Spanish_WP,multiclass,0.6052631578947368,3,6,0,4,1,50,40,0.611578947368421,0.6315789473684164,"1,10,20,30,40,50",,,2,0.6052631578947368,0.0,,"2,3,4,5",50,0.5263157894736858,nonnegative_gain,0.10526315789474161,0.0,0.0,0.0,0.0,0.31578947368421373,0.42105263157894424,0.5263157894736858,0.6315789473684164,0.5263157894736858
GesturePhaseSegmentationProcessed,multiclass,0.7863291139240506,5,10,0,0,1,50,20,0.7984810126582278,1.2151898734177213,"1,2,3,4,5,10,20,30,40,50",,,1,0.789873417721519,0.35443037974683955,,,50,1.0632911392405076,all_steps_up,0.35443037974683955,0.6075949367088662,0.6582278481012671,0.6582278481012671,0.75949367088608,0.75949367088608,1.2151898734177213,1.0632911392405076,1.0126582278481067,1.0632911392405076
HR_Analytics_Job_Change_of_Data_Scientists,binclass,0.7993215031315241,2,10,0,0,1,50,10,0.8001043841336117,0.07828810020876764,"1,2,3,4,5,10,20,30,40,50",,,1,0.7995824634655533,0.026096033402922547,,,50,0.07828810020876764,all_steps_up,0.026096033402922547,0.026096033402922547,0.026096033402922547,0.026096033402922547,0.026096033402922547,0.07828810020876764,0.07828810020876764,0.052192066805845094,0.07828810020876764,0.07828810020876764
IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,0.8639455782312925,2,0,0,10,,,1,0.8639455782312925,0.0,,,,1,0.8639455782312925,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INNHotelsGroup,binclass,0.9021364576154376,2,5,2,3,3,50,50,0.9032391454169538,0.11026878015162334,"3,4,30,40,50",5,10,10,0.9018607856650586,-0.02756719503790306,"5,10","1,2,20",50,0.11026878015162334,mixed_recovered_to_gain,0.0,0.0,0.02756719503790306,0.01378359751895708,-0.01378359751895708,-0.02756719503790306,0.0,0.04135079255686014,0.0689179875947632,0.11026878015162334
Indian_pines,multiclass,0.9622744669218152,8,1,0,9,40,40,40,0.9628212137780208,0.05467468562055933,40,,,1,0.9622744669218152,0.0,,"1,2,3,4,5,10,20,30,50",50,0.0,nonnegative_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05467468562055933,0.0
JapaneseVowels,multiclass,0.9989964877069744,9,0,0,10,,,1,0.9989964877069744,0.0,,,,1,0.9989964877069744,0.0,,"1,2,3,4,5,10,20,30,40,50",50,0.0,all_steps_flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDDCup09_upselling,binclass,0.8118908382066277,2,3,0,7,10,40,40,0.8148148148148148,0.29239766081871066,"10,20,40",,,1,0.8118908382066277,0.0,,"1,2,3,4,5,30,50",50,0.0,nonnegative_gain,0.0,0.0,0.0,0.0,0.0,0.19493177387914784,0.19493177387914784,0.0,0.29239766081871066,0.0
MIC,binclass,0.9090909090909092,2,0,3,7,,,1,0.9090909090909092,0.0,,20,50,20,0.906060606060606,-0.3030303030303161,"20,30,50","1,2,3,4,5,10,40",50,-0.3030303030303161,nonpositive_decline,0.0,0.0,0.0,0.0,0.0,0.0,-0.3030303030303161,-0.3030303030303161,0.0,-0.3030303030303161
