dataset_name,task_type,baseline_acc,best_acc,worst_acc,swing_pp
naticusdroid+android+permissions+dataset,binclass,0.9710243736151356,0.972387932503835,0.9711948184762228,0.1193114027612241
htru,binclass,0.9793296089385476,0.9804469273743016,0.9793296089385476,0.11173184357540222
ada_prior,binclass,0.8411829134720701,0.8411829134720701,0.8400876232201533,0.10952902519167917
heloc,binclass,0.7255,0.726,0.725,0.10000000000000009
default_of_credit_card_clients,binclass,0.8261666666666667,0.8271666666666667,0.8261666666666667,0.10000000000000009
sylvine,binclass,0.9707317073170731,0.9707317073170731,0.9697560975609756,0.09756097560975618
optdigits,multiclass,0.9955516014234876,0.99644128113879,0.9955516014234876,0.0889679715302405
company_bankruptcy_prediction,binclass,0.9706744868035192,0.9714076246334312,0.9706744868035192,0.07331378299120228
ringnorm,binclass,0.9797297297297296,0.9804054054054054,0.9797297297297296,0.06756756756758353
bank,binclass,0.9089903792989052,0.909322127612518,0.9086586309852924,0.06634966272255349
Cardiovascular-Disease-dataset,binclass,0.7341428571428571,0.7345,0.7338571428571429,0.06428571428571672
Amazon_employee_access,binclass,0.9443088190418064,0.9446139761977418,0.9440036618858711,0.06103143118706411
mobile_c36_oversampling,binclass,0.990533230293663,0.991112828438949,0.990533230293663,0.05795981452859644
Indian_pines,multiclass,0.9622744669218152,0.9628212137780208,0.9622744669218152,0.05467468562055933
HR_Analytics_Job_Change_of_Data_Scientists,binclass,0.7993215031315241,0.8001043841336117,0.7995824634655533,0.052192066805845094
gas-drift,multiclass,0.9964054636951832,0.996764917325665,0.9964054636951832,0.035945363048173196
BNG(breast-w),binclass,0.9883159766319533,0.9884429768859536,0.9881889763779528,0.025400050800084006
Click_prediction_small,binclass,0.8320400500625782,0.8319148936170213,0.8317897371714643,0.012515644555699534
pc3,binclass,0.9009584664536742,0.9009584664536742,0.9009584664536742,0.0
volkert,multiclass,0.7337506431143886,0.7337506431143886,0.7337506431143886,0.0
texture,multiclass,1.0,1.0,1.0,0.0
baseball,multiclass,0.9477611940298508,0.9477611940298508,0.9477611940298508,0.0
analcatdata_authorship,multiclass,0.9881656804733728,0.9881656804733728,0.9881656804733728,0.0
allrep,multiclass,0.9854304635761588,0.9854304635761588,0.9854304635761588,0.0
allbp,multiclass,0.9788079470198676,0.9788079470198676,0.9788079470198676,0.0
ada_agnostic,binclass,0.8400876232201533,0.8400876232201533,0.8400876232201533,0.0
Wilt,binclass,0.9927461139896372,0.9927461139896372,0.9927461139896372,0.0
UJI_Pen_Characters,multiclass,0.5421245421245421,0.5421245421245421,0.5421245421245421,0.0
walking-activity,multiclass,0.6641443733886898,0.6641443733886898,0.6641443733886898,0.0
page-blocks,multiclass,0.9789954337899544,0.9789954337899544,0.9789954337899544,0.0
Satellite,binclass,0.9931372549019608,0.9931372549019608,0.9931372549019608,0.0
PizzaCutter3,binclass,0.8803827751196173,0.8803827751196173,0.8803827751196173,0.0
Pima_Indians_Diabetes_Database,binclass,0.7467532467532467,0.7467532467532467,0.7467532467532467,0.0
Mobile_Price_Classification,multiclass,0.94,0.94,0.94,0.0
JapaneseVowels,multiclass,0.9989964877069744,0.9989964877069744,0.9989964877069744,0.0
IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,0.8639455782312925,0.8639455782312925,0.8639455782312925,0.0
drug_consumption,multiclass,0.403183023872679,0.403183023872679,0.403183023872679,0.0
eeg-eye-state,binclass,0.9913217623497996,0.9913217623497996,0.9913217623497996,0.0
ibm-employee-performance,binclass,1.0,1.0,1.0,0.0
steel_plates_faults,multiclass,0.8380462724935732,0.8380462724935732,0.8380462724935732,0.0
pendigits,multiclass,0.9972714870395636,0.9972714870395636,0.9972714870395636,0.0
ozone-level-8hr,binclass,0.9566074950690336,0.9566074950690336,0.9566074950690336,0.0
one-hundred-plants-texture,multiclass,0.91875,0.91875,0.91875,0.0
one-hundred-plants-shape,multiclass,0.8,0.8,0.8,0.0
one-hundred-plants-margin,multiclass,0.909375,0.909375,0.909375,0.0
rice_cammeo_and_osmancik,binclass,0.9291338582677166,0.9291338582677166,0.9291338582677166,0.0
national-longitudinal-survey-binary,binclass,1.0,1.0,1.0,0.0
mice_protein_expression,multiclass,1.0,1.0,1.0,0.0
mfeat-pixel,multiclass,0.975,0.975,0.975,0.0
mfeat-karhunen,multiclass,0.975,0.975,0.975,0.0
seismic+bumps,binclass,0.9342359767891684,0.9342359767891684,0.9342359767891684,0.0
maternal_health_risk,multiclass,0.8719211822660099,0.8719211822660099,0.8719211822660099,0.0
shuttle,multiclass,0.9994827586206896,0.9994827586206896,0.9994827586206896,0.0
letter,multiclass,0.98625,0.98625,0.98625,0.0
kropt,multiclass,0.852815395580898,0.852815395580898,0.852815395580898,0.0
kr-vs-k,multiclass,0.8508553100498931,0.8508553100498931,0.8508553100498931,0.0
internet_usage,multiclass,0.5296735905044511,0.5296735905044511,0.5296735905044511,0.0
ASP-POTASSCO-classification,multiclass,0.4401544401544401,0.4401544401544401,0.4401544401544401,0.0
