dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,fit_seconds,predict_seconds,status,error,aoc,aoc_metric,aoc_error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early
customer_satisfaction_in_airline,/home/crc00006699/zh/tabiclv2/data178/customer_satisfaction_in_airline,binclass,0,0,0,0,0,,,0.0,0.0,fail,"OutOfMemoryError: CUDA out of memory. Tried to allocate 80.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 12.00 MiB is free. Process 44657 has 23.55 GiB memory in use. Of the allocated memory 22.95 GiB is allocated by PyTorch, and 289.16 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,0,0,0,0,,0,,False,0.0,,,0,0,,,,0,False
delta_ailerons,/home/crc00006699/zh/tabiclv2/data178/delta_ailerons,binclass,5703,1141,1426,5,2,0.953015427769986,0.953028571020914,64.46270203590393,1.0123467445373535,ok,,0.0176370813118419,1_minus_roc_auc,,5703,4562,0,1426,0.1477405996993184,8,5e-06,True,64.41866111755371,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9430324276950044,0.9430324276950044,0,True
drug_consumption,/home/crc00006699/zh/tabiclv2/data178/drug_consumption,multiclass,1507,302,377,12,7,0.403183023872679,0.2316968605998004,23.967089653015137,0.4764683246612549,ok,,1.5125163592279736,log_loss,,1507,1205,0,377,1.5001282691955566,8,5e-06,True,23.930110931396484,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.4039735099337748,0.4039735099337748,0,True
electricity,/home/crc00006699/zh/tabiclv2/data178/electricity,binclass,36249,7250,9063,8,2,0.9417411453161204,0.9417148350362148,5599.61732840538,25.34014391899109,ok,,0.0126395303408727,1_minus_roc_auc,,36249,28999,0,9063,0.279958407394588,60,5e-06,True,5599.327779531479,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,0.9164137931034484,0.9325517241379312,30,False
eye_movements_bin,/home/crc00006699/zh/tabiclv2/data178/eye_movements_bin,binclass,6086,1218,1522,20,2,0.9507227332457292,0.9507222014289912,539.5343384742737,2.4214537143707275,ok,,0.0074043248302169,1_minus_roc_auc,,6086,4868,0,1522,0.3701567729003727,30,5e-06,True,539.4082975387573,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.645320197044335,0.9203612479474548,30,False
gina_agnostic,/home/crc00006699/zh/tabiclv2/data178/gina_agnostic,binclass,0,0,0,0,0,,,0.0,0.0,fail,"OutOfMemoryError: CUDA out of memory. Tried to allocate 1.03 GiB. GPU 0 has a total capacity of 23.57 GiB of which 794.00 MiB is free. Process 44657 has 22.79 GiB memory in use. Of the allocated memory 22.34 GiB is allocated by PyTorch, and 136.11 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,,0,0,0,0,,0,,False,0.0,,,0,0,,,,0,False
hill-valley,/home/crc00006699/zh/tabiclv2/data178/hill-valley,binclass,969,194,243,100,2,0.97119341563786,0.9711787714487684,133.2177963256836,1.0880870819091797,ok,,0.0008128979813033,1_minus_roc_auc,,969,775,0,243,0.0344581313402159,21,5e-06,True,133.073832988739,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.9381443298969072,0.9845360824742267,13,True
ibm-employee-performance,/home/crc00006699/zh/tabiclv2/data178/ibm-employee-performance,binclass,1176,236,294,30,2,1.0,1.0,29.128751516342163,0.5924935340881348,ok,,0.0,1_minus_roc_auc,,1176,940,0,294,1.7505474296797274e-06,8,5e-06,True,29.057694673538208,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,1.0,1.0,0,True
internet_usage,/home/crc00006699/zh/tabiclv2/data178/internet_usage,multiclass,8086,1618,2022,70,46,0.5499505440158259,0.4736042321329964,1.684760332107544,15.008931636810305,ok,,1.3632963446584834,log_loss,,8086,6468,0,2022,,0,5e-06,False,0.791741132736206,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=46 exceeds model max_classes=10,0,0,epoch_chunk,,,0,False
kc1,/home/crc00006699/zh/tabiclv2/data178/kc1,binclass,1687,338,422,21,2,0.8744075829383886,0.8588279844358429,48.963520765304565,0.6539366245269775,ok,,0.1388924800689506,1_minus_roc_auc,,1687,1349,0,422,0.3437296841293573,12,5e-06,True,48.90532875061035,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,0.878698224852071,0.8846153846153846,4,True
