dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,roc_auc,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,pseudo_enabled,pseudo_source,pseudo_selected_count,pseudo_selected_ratio,pseudo_conf_mean,pseudo_margin_mean,pseudo_loss_weight,pseudo_class_hist,pseudo_threshold_mode,pseudo_precision_posthoc
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7220764403879064,0.7220514955581413,0.800008640360573,565.0542004108429,24.91484546661377,ok,,35060,28048,0,8765,0.5699549280107021,16,5e-06,True,564.7866580486298,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7191956645750143,0.7191956645750143,0,True,False,,False,,0,,,,,{},off,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7113519680547633,0.7114057936627424,0.7877422622412548,566.529458284378,24.917024850845337,ok,,35060,28048,0,8765,0.5563623011112213,16,5e-06,True,566.1945254802704,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7137763833428409,0.7164860239589276,3,False,False,,False,,0,,,,,{},off,
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.710781517398745,0.7107912258824213,0.7889104876407639,566.1562385559082,24.914916515350345,ok,,35060,28048,0,8765,0.545744962990284,16,5e-06,True,565.8373560905457,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7086423274386765,0.7146320593268682,7,False,False,,False,,0,,,,,{},off,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7356948228882834,0.7352821316166672,0.7955571394630554,16.536548137664795,0.4758219718933105,ok,,1467,1173,0,367,0.5617645159363747,8,5e-06,True,16.505240440368652,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7006802721088435,0.7108843537414966,8,False,False,,False,,0,,,,,{},off,
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7153451226468911,0.7154035274822889,0.7907449994041231,564.6183457374573,24.865198850631717,ok,,35060,28048,0,8765,0.5353004857897758,16,5e-06,True,564.3406136035919,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,2,epoch_chunk,0.7119224187107815,0.7169138619509412,8,False,False,,False,,0,,,,,{},off,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8833333333333333,0.8821726106188607,0.97168066255618,94.61880660057068,3.5432822704315186,ok,,8640,6912,0,2160,0.3211191762238741,8,5e-06,True,94.45549249649048,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.8663194444444444,0.8692129629629629,6,False,False,,False,,0,,,,,{},off,
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data178/Fitness_Club_c,binclass,1200,240,300,6,2,0.8,0.7922205310333165,0.8235448761764551,12.540716886520386,0.2632076740264892,ok,,1200,960,0,300,0.437819492071867,8,5e-06,True,12.5123131275177,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.7666666666666667,0.775,2,False,False,,False,,0,,,,,{},off,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.675,0.6693032314479908,0.7372851562499999,17.346951961517334,0.5698206424713135,ok,,1280,1024,0,320,0.6159355565905571,8,5e-06,True,17.287800312042236,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.6484375,0.65625,4,False,False,,False,,0,,,,,{},off,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.678125,0.6777442094662638,0.756953125,17.611640691757202,0.5404553413391113,ok,,1280,1024,0,320,0.4913517404347658,8,5e-06,True,17.553386211395264,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.66796875,0.67578125,8,False,False,,False,,0,,,,,{},off,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6126315789473684,0.5691081070978781,0.7072824914011412,33.10906648635864,1.2691080570220947,ok,,3796,3036,0,950,0.8196118697524071,8,5e-06,True,33.05852818489075,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,8,1,epoch_chunk,0.6157894736842106,0.6210526315789474,4,False,False,,False,,0,,,,,{},off,
