dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
KDDCup09_upselling,/home/crc00006699/zh/tabiclv2/data178/KDDCup09_upselling,binclass,4102,821,1026,49,2,0.8138401559454191,28.805219411849976,2.131898880004883,ok,,4102,3076,1026,1026,0.3491091355681419,10,5e-06,True,28.59271740913391,stratified,stratified split
MIC,/home/crc00006699/zh/tabiclv2/data178/MIC,binclass,1319,264,330,104,2,0.896969696969697,13.08990478515625,1.2888453006744385,ok,,1319,989,330,330,0.2938403747975826,10,5e-06,True,12.823466539382936,stratified,stratified split
MagicTelescope,/home/crc00006699/zh/tabiclv2/data178/MagicTelescope,binclass,15216,3044,3804,9,2,0.88801261829653,169.97161555290222,6.336691856384277,ok,,15216,11412,3804,3804,0.2853316180408001,10,5e-06,True,169.84161710739136,stratified,stratified split
Marketing_Campaign,/home/crc00006699/zh/tabiclv2/data178/Marketing_Campaign,binclass,1792,359,448,27,2,0.8928571428571429,12.341506719589232,0.6743350028991699,ok,,1792,1344,448,448,0.2422036491334438,10,5e-06,True,12.26096224784851,stratified,stratified split
Mobile_Price_Classification,/home/crc00006699/zh/tabiclv2/data178/Mobile_Price_Classification,multiclass,1600,320,400,20,4,0.945,10.758675813674929,0.5553672313690186,ok,,1600,1200,400,400,0.1632294356822967,10,5e-06,True,10.69862699508667,stratified,stratified split
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8399122807017544,11.457124948501589,0.4742524623870849,ok,,1822,1366,456,456,0.3604629840701818,10,5e-06,True,11.42811393737793,stratified,stratified split
PhishingWebsites,/home/crc00006699/zh/tabiclv2/data178/PhishingWebsites,binclass,8844,1769,2211,30,2,0.9800995024875622,76.46997022628784,3.879531383514404,ok,,8844,6633,2211,2211,0.0511382301338017,10,5e-06,True,76.19332957267761,stratified,stratified split
PieChart3,/home/crc00006699/zh/tabiclv2/data178/PieChart3,binclass,861,173,216,37,2,0.875,10.51787519454956,0.7536661624908447,ok,,861,645,216,216,0.3007739931344986,10,5e-06,True,10.4491229057312,stratified,stratified split
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data178/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7792207792207793,10.396421670913696,0.318882942199707,ok,,614,460,154,154,0.4299746491014957,10,5e-06,True,10.370306968688965,stratified,stratified split
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data178/PizzaCutter3,binclass,834,167,209,37,2,0.8803827751196173,10.605306386947632,0.7193400859832764,ok,,834,625,209,209,0.3164623230695724,10,5e-06,True,10.535483598709106,stratified,stratified split
Pumpkin_Seeds,/home/crc00006699/zh/tabiclv2/data178/Pumpkin_Seeds,binclass,2000,400,500,12,2,0.874,12.959867238998411,0.6040430068969727,ok,,2000,1500,500,500,0.2210414558649063,10,5e-06,True,12.920219659805298,stratified,stratified split
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.8767772511848341,10.439825057983398,0.7428433895111084,ok,,843,632,211,211,0.2733783796429634,10,5e-06,True,10.323330163955688,stratified,stratified split
