dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason
led7,/home/crc00006699/zh/tabiclv2/data178/led7,multiclass,2560,512,640,7,10,0.740625,1.5231289863586426,0.567880392074585,ok,,2560,1920,640,640,0.8554505109786987,10,2e-06,True,1.4829440116882324,stratified,stratified split
mammography,/home/crc00006699/zh/tabiclv2/data178/mammography,binclass,8946,1790,2237,6,2,0.9888243182834153,8.569268941879272,1.9700498580932617,ok,,8946,6709,2237,2237,0.03994348645210266,10,2e-06,True,8.494073390960693,stratified,stratified split
mfeat-fourier,/home/crc00006699/zh/tabiclv2/data178/mfeat-fourier,multiclass,1600,320,400,76,10,0.895,1.7182385921478271,1.0641999244689941,ok,,1600,1200,400,400,0.2271852046251297,10,2e-06,True,1.5722434520721436,stratified,stratified split
mfeat-pixel,/home/crc00006699/zh/tabiclv2/data178/mfeat-pixel,multiclass,1600,320,400,240,10,0.975,4.1852686405181885,2.69498610496521,ok,,1600,1200,400,400,0.045186594128608704,10,2e-06,True,3.524463415145874,stratified,stratified split
microaggregation2,/home/crc00006699/zh/tabiclv2/data178/microaggregation2,multiclass,16000,3200,4000,20,5,0.6395,24.597893476486206,7.454416751861572,ok,,16000,12000,4000,4000,0.9079723954200745,10,2e-06,True,24.351890563964844,stratified,stratified split
naticusdroid+android+permissions+dataset,/home/crc00006699/zh/tabiclv2/data178/naticusdroid+android+permissions+dataset,binclass,23465,4693,5867,86,2,0.9713652633373103,59.12138366699219,64.8916244506836,ok,,23465,17598,5867,5867,0.07941529899835587,10,2e-06,True,57.290589570999146,stratified,stratified split
one-hundred-plants-margin,/home/crc00006699/zh/tabiclv2/data178/one-hundred-plants-margin,multiclass,1280,256,320,64,100,0.909375,0.9253978729248047,3.5663015842437744,ok,,1280,960,320,320,,0,2e-06,False,0.4662797451019287,stratified,stratified split | TTT training skipped because n_classes=100 exceeds model max_classes=10
online_shoppers,/home/crc00006699/zh/tabiclv2/data178/online_shoppers,binclass,9864,1973,2466,14,2,0.9047039740470397,10.237540245056152,3.2340879440307617,ok,,9864,7398,2466,2466,0.22521579265594482,10,2e-06,True,10.082370519638062,stratified,stratified split
page-blocks,/home/crc00006699/zh/tabiclv2/data178/page-blocks,multiclass,4378,876,1095,10,5,0.9789954337899544,2.925074577331543,1.071523904800415,ok,,4378,3283,1095,1095,0.06650366634130478,10,2e-06,True,2.8736443519592285,stratified,stratified split
pc4,/home/crc00006699/zh/tabiclv2/data178/pc4,binclass,1166,234,292,37,2,0.9143835616438356,1.0242352485656738,0.49756598472595215,ok,,1166,874,292,292,0.1296483427286148,10,2e-06,True,0.9531469345092773,stratified,stratified split
pol,/home/crc00006699/zh/tabiclv2/data178/pol,binclass,8065,1613,2017,26,2,0.9836390679226574,7.87963080406189,3.0498321056365967,ok,,8065,6048,2017,2017,0.25854068994522095,10,2e-06,True,7.723870277404785,stratified,stratified split
rice_cammeo_and_osmancik,/home/crc00006699/zh/tabiclv2/data178/rice_cammeo_and_osmancik,binclass,3048,610,762,7,2,0.9291338582677166,1.7858877182006836,0.613640308380127,ok,,3048,2286,762,762,0.30932414531707764,10,2e-06,True,1.754560947418213,stratified,stratified split
satimage,/home/crc00006699/zh/tabiclv2/data178/satimage,multiclass,5144,1029,1286,36,6,0.937791601866252,4.170685291290283,2.1130123138427734,ok,,5144,3858,1286,1286,0.18172651529312134,10,2e-06,True,4.005661964416504,stratified,stratified split
semeion,/home/crc00006699/zh/tabiclv2/data178/semeion,multiclass,1274,255,319,256,10,0.9592476489028213,3.382941961288452,2.4608170986175537,ok,,1274,955,319,319,0.2204355150461197,10,2e-06,True,2.9289186000823975,stratified,stratified split
splice,/home/crc00006699/zh/tabiclv2/data178/splice,multiclass,2552,511,638,60,3,0.9592476489028213,2.4105546474456787,1.3942315578460693,ok,,2552,1914,638,638,0.14415343105793,10,2e-06,True,2.1936914920806885,stratified,stratified split
steel_plates_faults,/home/crc00006699/zh/tabiclv2/data178/steel_plates_faults,multiclass,1552,311,389,27,7,0.8380462724935732,1.1373250484466553,0.5231022834777832,ok,,1552,1164,388,389,0.7121686935424805,10,2e-06,True,1.0752942562103271,stratified,stratified split
telco-customer-churn,/home/crc00006699/zh/tabiclv2/data178/telco-customer-churn,binclass,5634,1127,1409,18,2,0.8048261178140526,4.584915399551392,1.7863926887512207,ok,,5634,4225,1409,1409,0.4038746654987335,10,2e-06,True,4.455748558044434,stratified,stratified split
thyroid-ann,/home/crc00006699/zh/tabiclv2/data178/thyroid-ann,multiclass,3017,604,755,21,3,0.9894039735099338,1.9955861568450928,0.8907556533813477,ok,,3017,2262,755,755,0.007940488867461681,10,2e-06,True,1.9289867877960205,stratified,stratified split
twonorm,/home/crc00006699/zh/tabiclv2/data178/twonorm,binclass,5920,1184,1480,20,2,0.9783783783783784,4.815562963485718,1.9539170265197754,ok,,5920,4440,1480,1480,0.04710155725479126,10,2e-06,True,4.7111570835113525,stratified,stratified split
walking-activity,/home/crc00006699/zh/tabiclv2/data178/walking-activity,multiclass,119465,23893,29867,4,22,0.6641443733886898,1.5153789520263672,359.74609422683716,ok,,119465,89598,29867,29867,,0,2e-06,False,0.6742494106292725,stratified,stratified split | TTT training skipped because n_classes=22 exceeds model max_classes=10
waveform-5000,/home/crc00006699/zh/tabiclv2/data178/waveform-5000,multiclass,4000,800,1000,40,3,0.869,3.404991388320923,1.7212836742401123,ok,,4000,3000,1000,1000,0.2768014967441559,10,2e-06,True,3.2620444297790527,stratified,stratified split
website_phishing,/home/crc00006699/zh/tabiclv2/data178/website_phishing,multiclass,1082,217,271,9,3,0.9114391143911439,0.8046021461486816,0.2764415740966797,ok,,1082,811,271,271,0.21069937944412231,10,2e-06,True,0.7739248275756836,stratified,stratified split
wine-quality-white,/home/crc00006699/zh/tabiclv2/data178/wine-quality-white,multiclass,3918,784,980,11,7,0.6836734693877551,2.67079758644104,1.0281956195831299,ok,,3918,2938,980,980,0.8185854554176331,10,2e-06,True,2.61592173576355,stratified,stratified split
